# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
እረጋ	እረግቷል	ይረጋ	ይረጋል	ይርጋ	እርጋ	እረግቶ	መርጋት	እረጊ	coagulate	i
ረገመ	ረግሟል	ይረግም	ይረግማል	ይርገም	እርገም	ረግሞ	መርገም	ረጋሚ	curse	t
እሮጠ	እሩጧል	ይሮጥ	ይሮጣል	ይሩጥ	እሩጥ	እሩጦ	መሮጥ	እሯጭ	run	i
ረጠበ	ረጥቧል	ይረጥብ	ይረጥባል	ይርጠብ	እርጠብ	ረጥቦ	መርጠብ	ረጣቢ	be wet	i
ረፈደ	ረፍዷል	ይረፍድ	ይረፍዳል			ረፍዶ	መርፈድ			
ሳለ	ስሏል	ይስል	ይስላል	ይሳል	ሳል	ስሎ	መሳል	ሳይ	cough	i
ሰለለ	ስሏል					ስሎ	መስለል		be paralysed	i
ሰለለ	ሰልሏል	ይሰልል	ይሰልላል	ይሰልል	ሰልል	ሰልሎ	መሰለል	ሰላይ	spy on	t
ሰማ	ስምቷል	ይስማ	ይሰማል	ይስማ	ስማ	ስምቶ	መስማት	ሰሚ	hear	t
ሳመ	ስሟል	ይስም	ይስማል	ይሳም	ሳም	ስሞ	መሳም	ሳሚ	kiss	t
ሰራ	ሰርቷል	ይሰራ	ይሰራል	ይሰራ	ስራ	ሰርቶ	መስራት	ሰሪ	work, build, decree	t
ሰረሰረ	ሰርስሯል	ይሰረስር	ይሰረስራል	ይሰርስር	ስርስር	ሰርስሮ	መሰርሰር	ሰርሳሪ	bore through	t
ሰረቀ	ሰርቋል	ይስረቅ	ይሰርቃል	ይስረቅ	ስርቅ	ሰርቆ	መስረቅ	ስራቂ	steal	t
ሣሣ	ሣሥቷል	ይሣሣ	ይሣሣል	ይሣሣ		ሣሥቶ	መሣሣት	ሣሽ	be thin	i
ሣቀ	ሥቋል	ይሥቅ	ይሥቃል	ይሣቅ	ሣቅ	ሥቆ	መሣቅ	ሣቂ	laugh	i
ሰቀለ	ሰቅሏል	ይሰቅል	ይሰቅላል	ይስቀል	ሰቀል	ሰቅሎ	መስቀል	ሰቃይ	suspend	t
ሳበ	ስቧል	ይስብ	ይስባል	ይሳብ	ሳብ	ስቦ	መሳብ	ሳቢ	draw	t
