# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ተጠመቀ	ተጠምቋል	ይጠመቅ	ይጠመቃል	ይጠመቅ	ተጠመቅ	ተጠምቆ	መጠመቅ	ተጠማቂ	be wrung; be baptized	p
ተጠመዘዘ	ተጠምዝዟል	ይጠመዘዝ	ይጠመዘዛል	ይጠምዘዝ		ተጠምዝዞ	መጠምዘዝ	ተጠምዛዢ	be twisted 	p
ተጠመደ	ተጠምዷል	ይጠመድ	ይጠመዳል	ይጠመድ		ተጠምዶ	መጠመድ	ተጠማጅ	be yoked	p
ተጠመጠመ	ተጠምጥሟል	ይጠመጠም	ይጠመጠማል	ይጠምጠም	ተጠምጠም	ተጠምጥሞ	መጠምጠም	ተጠምጣሚ	be wound	p
ተጠራ	ተጠርቷል	ይጠራ	ይጠራል	ይጠራ		ተጠርቶ	መጠራት	ተጠሪ	be called	p
ተጣራ	ተጣርቷል	ይጣራ	ይጣራል	ይጣራ		ተጣርቶ	መጠራት	ተጠሪ	summon	t
ተጠረገ	ተጠርጓል	ይጠረግ	ይጠረጋል	ይጠረግ		ተጠርጎ	መጠረግ		be cleaned	p
ተጠረጠረ	ተጠርጥሯል	ይጠረጠር	ይጠረጠራል	ይጠርጠር		ተጠርጥሮ	መጠርጠር	ተጠርጣሪ	be doubted	p
ተጠቀለለ	ተጠቅልሏል ፤ ተጠቅሏል	ይጠቀለል	ይጠቀለላል	ይጠቅለል	ተጠቅለል	ተጠቅልሎ ፤ ተጠቅሎ	መጠቅለል	ተጠቅላይ	be rolled up	p
ተጠቃቀሙ	ተጠቃቅመዋል	ይጠቃቀሙ	ይጠቃቀማሉ	ይጠቃቀሙ	ተጠቃቀሙ	ተጠቃቅመው	መጠቃቀም	ተጠቃቃሞች	agree together	i
ታጠበ	ታጥቧል	ይታጠብ	ይታጠባል	ይታጠብ	ታጠብ	ታጥቦ	መታጠብ	ታጣቢ	be washed	p
ተጠበሰ	ተጠብሷል	ይጠበስ	ይጠበሳል	ይጠበስ		ተጠብሶ	መጠበስ	ተጠባሽ	be toasted	p
ተጠበቀ	ተጠብቋል	ይጠበቅ	ይጠበቃል	ይጠበቅ	ተጠበቅ	ተጠብቆ	መጠበቅ	ተጠባቂ	be guarded	p
ተጣበቀ	ተጣብቋል	ይጣበቅ	ይጣበቃል	ይጣበቅ		ተጣብቆ	መጣበቅ	ተጣባቂ	be squeezed	p
ተጠበበ	ተጠቧል	ይጠበብ	ይጠበባል	ይጠበብ	ተጠበብ	ተጠቦ	መጠበብ	ተጠባቢ	be wise; be in difficulty	i
ታጠነ	ታጥኗል	ይታጠን	ይታጠናል	ይታጠን	ታጠን	ታጥኖ	መታጠን	ታጣኝ	be perfumed	p
ተጠነቀቀ	ተጠንቅቋል	ይጠንቀቅ	ይጠነቀቃል	ይጠንቀቅ	ተጠንቀቅ	ተጠንቅቆ	መጠንቀቅ	ተጠንቃቂ	beware	i
ተጠየቀ	ተጠይቋል	ይጠየቅ	ይጠየቃል	ይጠየቅ		ተጠይቆ	መጠየቅ	ተጠያቂ	be asked	p
ተጠጋ	ተጠግቷል	ይጠጋ	ይጠጋል	ይጠጋ	ተጠጋ	ተጠግቶ	መጠጋት	ተጠጊ	lean	i
ተጠጣ	ተጠጥቷል	ይጠጣ	ይጠጣል	ይጠጣ		ተጠጥቶ	መጠጣት	ተጠጭ	be drunk	p
ተጣፈ	ተጥፏል	ይጣፍ	ይጣፋል	ይጣፍ		ተጥፎ	መጣፍ	ተጣፊ	be folded	p
ታጠፈ	ታጥፏል	ይታጠፍ	ይታጠፋል	ይታጠፍ		ታጥፎ	መታጠፍ	ታጣፊ	be folded	p
ተጨመረ	ተጨምሯል	ይጨመር	ይጨመራል	ይጨመር	ተጨመር	ተጨምሮ	መጨመር	ተጨማሪ	be increased	p
ተጨረሰ	ተጨርሷል	ይጨረስ	ይጨረሳል	ይጨረስ		ተጨረሶ	መጨረስ	ተጨራሽ	be finished	p
ተጨቈነ	ተጨቍኗል	ይጨቈን	ይጨቈናል	ይጨቈን		ተጨቍኖ	መጨቈን	ተጨቋኝ	be pressed	p
ተጫነ	ተጭኗል	ይጫን	ይጫናል	ይጫን		ተጭኖ	መጫን	ተጫኝ	be saddled	p
ተጫወተ	ተጫውቷል	ይጫወት	ይጫወታል	ይጫወት	ተጫወት	ተጫውቶ	መጫወት	ተጫዋች	play	i
ተፈለገ	ተፈልጓል	ይፈለግ	ይፈለጋል	ይፈለግ		ተፈልጎ	መፈለግ	ተፈላጊ	be sought	p
ተፈረደ	ተፈርዷል	ይፈረድ	ይፈረዳል	ይፈረድ		ተፈርዶ	መፈረድ	ተፈራጅ	be decided	p
ተፋቀ	ተፍቋል	ይፋቅ	ይፋቃል	ይፋቅ		ተፍቆ	መፋቅ	ተፋቂ	be scraped	p
ተፈታ	ተፈትቷል	ይፈታ	ይፈታል	ይፈታ		ተፈትቶ	መፈታት	ተፈች	be untied	p
ተፈተነ	ተፈትኗል	ይፈተን	ይፈተናል	ይፈተን	ተፈተን	ተፈትኖ	መፈተን	ተፈታኝ	be tested	p
ተፈወሰ	ተፈውሷል	ይፈወስ	ይፈወሳል	ይፈወስ		ተፈውሶ	መፈወስ	ተፈዋሽ	be cured	p
ተፈገፈገ	ተፈግፍጓል	ይፈግፈግ	ይፈገፈጋል	ይፈግፈግ		ተፈግፍጎ	መፈግፈግ		be rubbed	p
ተፈጀ 2nd-ጀህ	ተፈጅቷል	ይፈጅ	ይፍጃል	ይፈጅ		ተፈጅቶ	መፈጀት	ተፈጅ-ጂ	be destroyed	p
ተፈጨ	ተፈጭቷል	ይፈጭ	ይፈጫል	ይፈጭ		ተፈጭቶ	መፈጨት	ተፈጭ	be ground	p
ቻለ	ችሏል	ይችል	ይችላል	ይቻል	ቻል	ችሎ	መቻል	ቻይ	hold	t
ቸኰለ	ቸኵሏል	ይቸኵል	ይቸኵላል	ይቸኵል	ቸኵል	ቸኵሎ	መቸኰል	ቸኳይ	hasten	i
ቸገረው	ቸግሮታል	ይቸግረው	ይቸግረዋል			ቸግሮት	መቸገር	ቸጋሪ	be at a loss	i
ኖረ	ኑሯል	ይኖር	ይኖራል	ይኑር	ኑር	ኑሮ	መኖር	ኗሪ	stay	i
ነሣ	ነሥቷል	ይነሣ	ይነሣል	ይንሣ	ንሣ	ነሥቶ	መንሣት	ነሽ	take  	t
ነሰረው	ነስሮታል	ይነስረው	ይነስረዋል	ይንሰረው		ነስሮት	መንሰር		bleed at the nose	i
ነቃ	ነቅቷል	ይነቃ	ይነቃል	ይንቃ	ንቃ	ነቅቶ	መንቃት	ነቂ	wake, split	i,i
ነቀለ	ነቅሏል	ይነቅል	ይነቅላል	ይንቀል	ንቀል	ነቅሎ	መንቀል	ነቃይ	uproot	t
ነቀሰ	ነቅሷል	ይነቅስ	ይነቅሳል	ይንቀስ	ንቀስ	ነቅሶ	መንቀስ	ነቃሽ	comb	t
ነቀነቀ	ነቅንቋል	ይነቀንቅ	ይነቀንቃል	ይነቅንቅ	ነቅንቅ	ነቅንቆ	መነቅነቅ	ነቅናቂ	shake	t
ነበረ -በር									be	i
ነካ	ነክቷል	ይነካ	ይነካል	ይንካ	ንካ ፤ እንካ	ነክቶ	መንካት	ነኪ	touch	t
ነከረ	ነክሯል	ይነክር	ይነክራል	ይንከር	ንከር	ነክሮ	መንከር	ነካሪ	wet	t
ነከሰ	ነክሷል	ይነክስ	ይነክሳል	ይንከስ	ንከስ	ነክሶ	መንከስ	ነካሽ	bite	t
ነዳ	ነድቷል	ይነዳ	ይነዳል	ይንዳ	ንዳ	ነድቶ	መንዳት	ነጅ -ጂ	drive	t
ነደደ	ነዷል	ይነድ	ይነዳል	ይንደድ	ንደድ	ነዶ	መንደድ	ነዳጅ	burn	i
ነደፈ	ነድፏል	ይነድፍ	ይነድፋል	ይንደፍ	ንደፍ	ነድፎ	መንደፍ	ነዳፊ	sting	t
ነጋ	ነግቷል	ይነጋ	ይነጋል			ነግቶ	መንጋት		dawn	i
ነገረ	ነግሯል	ይነግር	ይነግራል	ይንገር	ንገር	ነግሮ	መንገር	ነጋሪ	say	t
ነገሠ	ነግሷል	ይነግሥ	ይነግሣል	ይንገሥ	ንገሥ	ነግሦ	መንገሥ	ነጋሽ	reign	i
ነገደ	ነግዷል	ይነግድ	ይነግዳል	ይንገድ ፤ ይነግድ	ንገድ ፤ ነግድ	ነግዶ	መንገድ ፤ መነገድ	ነጋጅ	trade	i
ነጣ	ነጥቷል	ይንጣ	ይነጣል	ይንጣ	ንጣ	ነጥቶ	መንጣት	ነጭ	be white	i
ነጠረ	ነጥሯል	ይነጥር	ይነጥራል	ይንጠር		ነጥሮ	መንጠር	ነጣሪ	be clarified	i
ነጠቀ	ነጥቋል	ይነጥቅ	ይነጥቃል	ይንጠቅ	ንጠቅ	ነጥቆ	መንጠቅ	ነጣቂ	snatch	t
ነጠበ	ነጥቧል	ይነጥብ	ይነጥባል	ይንጠብ		ነጥቦ	መንጠብ	ነጣቢ	drip	i
ነጨ 2nd-ነጨህ	ነጭቷል	ይነጭ	ይነጫል	ይንጭ	እ ንጭ	ነጭቶ	መንጨት	ነጭ	pluck out	t
ነፋ	ነፍቷል	ይነፋ	ይነፋል	ይንፋ	ንፋ	ነፍቶ	መንፋት	ነፊ	inflate	t
ነፈሰ	ነፍሷል	ይነፍስ	ይነፍሳል	ይንፈስ		ነፍሶ	መንፈስ	ነፋሽ	blow	i
አለ	ብሏል	ይል	ይላል	ይበል	በል	ብሎ	ማለት		say	t
አለ 2nd አለህ									be	i
አለላከ	አለልኳል	ያለልክ	ያለልካል	ያለልክ	አለልክ	አለልኮ	ማለላክ	አለላኪ	send to and fro	t
አላላከ	አላልኳል	ያላልክ	ያላልካል	ያላልክ	አላልክ	አላልኮ	ማላላክ	አላላኪ	send to and fro	t
አለሰለሰ	አለስልሷል	ያለሰልስ	ያለሰልሳል	ያለስልስ	አለስልስ	አለስልሶ	ማለስለስ		soften	t
አለቀ	አልቋል	ያልቅ	ያልቃል	ይለቅ	እለቅ	አልቆ	ማለቅ	አላቂ	end	i
አለቀመ	አልቅሟል	ያለቅም	ያለቅማል	ያልቅም	አልቅም	አልቅሞ	ማልቀም	አልቃሚ	take to pasture	t
አላቀመ	አላቅሟል	ያላቅም	ያላቅማል	ያላቅም	አላቅም	አላቅሞ	ማላቀም	አላቃሚ	help to reap	t
አለቀሰ	አልቅሷል	ያለቅስ	ያለቅሳል	ያልቅስ	አልቅስ	አልቅሶ	ማልቀስ	አልቃሽ	weep	i
አለቃቀመ	አለቃቅሟል	ያለቃቅም	ያለቃቅማል	ያለቃቅም	አለቃቅም	አለቃቅሞ	ማለቃቀም	አለቃቃሚ	cause to pick a little	t
አለቃቀመ	አለቃቅሟል	ያለቃቅም	ያለቃቅማል	ያለቃቅም	አለቃቅም	አለቃቅሞ	ማለቃቀም	አለቃቃሚ	help to pick	t
አለበ	አልቧል	ያልብ	ያልባል	ይለብ	እለብ	አልቦ	ማለብ	አላቢ	milk	t
አለበሰ	አልብሷል	ያለብስ	ያለብሳል	ያልብስ	አልብስ	አልብሶ	ማልበስ	አልባሽ	dress	t
አለፈ	አልፏል	ያልፍ	ያልፋል	ይለፍ	እለፍ	አልፎ	ማለፍ	አላፊ	pass	t
አማ	አምቷል	ያማ	ያማል	ይማ	እማ	አምቶ	ማማት	አሚ	slander	t
አመላለሰ	አመላልሷል	ያመላልስ	ያመላልሳል	ያመላልስ	አመላልስ	አመላልሶ	ማመላለስ	አመላላሽ	fetch and carry	t
አመለከተ	አመልክቷል	ያመለክት	ያመለክታል	ያመልክት	አመልክት	አመልክቶ	ማመልከት	አመልካች	indicate	t
አመመ	አሟል	ያምም	ያማል	ይመም		አሞ	ማመም		ache	i
አማረ	አምሯል	ያምር	ያምራል	ይመር		አምሮ	ማማር	አማሪ	be pleasant	i
አማሰለ	አማስሏል	ያማስል	ያማስላል	ያማስል	አማስል	አማስሎ	መማሰል	አማሳይ	stir	t
አመሰገነ	አመስግኗል	ያመሰግን	ያመሰግናል	ያመስግን	አመስግን	አመስግኖ	ማመስገን	አመስጋኝ	praise	t
አሞቀ	አሙቋል	ያሞቅ	ያሞቃል	ያሙቅ	አሙቅ	አሙቆ	ማሞቅ	አሟቂ	warm	t
አምበረከከ	አምበርክኳል	ያምበረክክ	ያምበረክካል	ያምበርክክ	አምበርክክ	አምበርክኮ	ማምበርከክ	አምበርካኪ	cause to kneel	t
አመነ	አምኗል	ያምን	ያምናል	ይመን	እመን	አምኖ	ማመን	አማኝ	believe	t
አሞኘ	አሞኝቷል	ያሞኝ	ያሞኛል	ያሞኝ	አሞኝ	አሞኝቶ	ማሞኘት	አሞኝ ፤ አሞኚ	deceive	t
አመጠ	አምጧል	ያምጥ	ያምጣል	ያምጥ	አምጥ	አምጦ	ማመጥ	አማጭ	rebel	i
አመጣ	አምጥቷል	ያመጣ	ያመጣል	ያምጣ	አምጣ	አምጥቶ	ማምጣት	አምጭ -ጪ	bring	t
አረመ	አርሟል	ያርም	ያርማል	ያርም	አርም	አርሞ	ማረም	አራሚ	weed	t
አረራቀ	አረርቋል	ያረርቅ	ያረርቃል	ያረርቅ	አረርቅ	አረርቆ	ማረራቅ	አረራቂ	separate	t
አራራቀ	አራርቋል	ያራርቅ	ያራርቃል	ያራርቅ	አራርቅ	አራርቆ	ማራራቅ	አራራቂ	separate	t
አረሰ	አርሷል	ያርስ	ያርሳል	ይረስ	እረስ	አርሶ	ማረስ	አራሽ	plough	t
አረቀ	አርቋል	ያርቅ	ያርቃል	ያርቅ	አርቅ	አርቆ	ማረቅ	አራቂ	straighten	t
አረደ	አርዷል	ያርድ	ያርዳል	ይረድ	እረድ	አርዶ	ማረድ	አራጅ	slaughter	t
አረጀ 2nd አረጀህ	አርጅቷል	ያረጅ	ያረጃል			አርጅቶ	ማርጀት	አርጅ -ጂ	grow old	i
አረገበ 	አርግቧል	ያረግብ	ያረግባል	ያርግብ	አርግብ	አርግቦ	ማርገብ	አርጋቢ	loosen	t
አራገበ	አራግቧል	ያራግብ	ያራግባል	ያራግብ	አራግብ	አራግቦ	ማራገብ	አራጋቢ	wave	t
አርገበገበ	አርገብግቧል	ያርገበግብ	ያርገበግባል	ያርገብግብ	አርገብግብ	አርገብግቦ	ማርገብገብ	አርገብጋቢ	flutter	t
አራገፈ	አራግፏል	ያራግፍ	ያራግፋል	ያራግፍ	አራግፍ	አራግፎ	ማራገፍ	አራጋፊ	unsaddle	t
አረፈ	አርፏል	ያርፍ	ያርፋል	ይረፍ	እረፍ	አርፎ	ማረፍ	አራፊ	rest	i
አስለቀመ	አስለቅሟል	ያስለቅም	ያስለቅማል	ያስለቅም	አስለቅም	አስለቅሞ	ማስለቀም	አስለቃሚ	cause to gather	t
አሰለፈ 	አሰልፏል	ያሰልፍ	ያሰልፋል	ያሰልፍ	አሰልፍ	አሰልፎ	ማሰለፍ	አሰላፊ	parade	t
አሳለፈ	አሳልፏል	ያሳልፍ	ያሳልፋል	ያሳልፍ	አሳልፍ	አሳልፎ	ማሳለፍ	አሳላፊ	let pass	t
አሰማ	አሰምቷል	ያሰማ	ያሰማል	ያሰማ	አሰማ	አሰምቶ	ማሰማት	አሰሚ	cause to hear	t
አሳመመ	አሳምሟል	ያሳምም	ያሳምማል	ያሳምም	አሳምም	አሳምሞ	ማሳመም	አሳማሚ	hurt	t
አሰመረ 2nd-ረህ	አሰመርቷል	ያሰመር	ያሰመራል	ያሰመር	አሰመር	አሰመርቶ	ማሰመረት	አሰማሪ ፤ አሰምሪ	take to pasture	t
አሰማራ	አሰማርቷል	ያሰማራ	ያሰማራል	ያሰማራ	አሰማራ	አሰማርቶ	ማሰማራት	አሰማሪ	take to pasture	t
አስመሰለ 	አስመስሏል	ያስመስል	ያስመስላል	ያስመስል	አስመስል	አስመስሎ	ማስመሰል	አስመሳይ	pretend	t
አስመነዘረ	አስመንዝሯል	ያስመነዝር	ያስመነዝራል	ያስመንዝር	አስመንዝር	አስመንዝሮ	ማስመንዘር	አስመንዛሪ	cause to change	t
አሳመጠ	አሳምጧል	ያሳምጥ	ያሳምጣል	ያሳምጥ	አሳምጥ	አሳምጦ	ማሳመጥ	አሳማጭ	cause to rebel	t
አስመጣ	አስመጥቷል	ያስመጣ	ያስመጣል	ያስመጣ	አስመጣ	አስመጥቶ	ማስመጣት	አስመጭ -ጪ	cause to come	t
አሰረ	አስሯል	ያስር	ያስራል	ይሰር	እሰር	አስሮ	ማሰር	አሳሪ	bind	t
አሰራ	አሰርቷል	ያሰራ	ያሰራል	ያሰራ	አሰራ	አሰርቶ	ማሰራት	አሰሪ	employ	t
አሳሰበ	አሳስቧል	ያሳስብ	ያሳስባል	ያሳስብ	አሳስብ	አሳስቦ	ማሳሰብ	አሳሳቢ	remind	t
አሰሳተ	አሰስቷል	ያሰስት	ያሰስታል	ያሰስት	አሰስት	አሰስቶ	ማሰሳት	አሰሳች	mistake	t
አሳሳተ	አሳስቷል	ያሳስት	ያሳስታል	ያሳስት	አሳስት	አሳስቶ	ማሳሳት	አሳሳች	mistake	t
አሣቀ	አሥቋል	ያሥቅ	ያሥቃል	ያሥቅ	አሥቅ	አሥቆ	ማሣቅ	አሣቂ	amuse	t
አስቀመጠ	አስቀምጧል	ያስቀምጥ	ያስቀምጣል	ያስቀምጥ	አስቀምጥ	አስቀምጦ	ማስቀመጥ	አስቀማጭ	set	t
አስቀረ  2nd አስቀረህ	አስቀርቷል	ያስቀር	ያስቀራል	ያስቀር	አስቀር	አስቀርቶ	ማስቀረት	አስቀሪ	delay	t
አስቀረበ	አስቀርቧል	ያስቀርብ	ያስቀርባል	ያስቀርብ	አስቀርብ	አስቀርቦ	ማስቀረብ	አስቀራቢ	cause to approach	t
አስቈረጠ	አስቈርጧል	ያስቈርጥ	ያስቈርጣል	ያስቈርጥ	አስቈርጥ	አስቈርጦ	ማስቈረጥ	አስቈራጪ	cause to cut	t
አስቀዘነ	አስቀዝኗል	ያስቀዝን	ያስቀዝናል			አስቀዝኖ	ማስቀዘን	አስቀዛኝ	cause diarrhoea (to) I	t
አስቀደመ	አስቀድሟል	ያስቀድም	ያስቀድማል	ያስቀድም	አስቀድም	አስቀድሞ	ማስቀደም	አስቀዳሚ	put in front	t
አሰበ	አስቧል	ያስብ	ያስባል	ያስብ	አስብ	አስቦ	ማሰብ	አሳቢ	suppose	t
አስበራ	አስበርቷል	ያስበራ	ያስበራል	ያስበራ	አስበራ	አስበርቶ	ማስበራት	አስበሪ	cause to light	t
አሰባበረ	አሰባብሯል	ያሰባብር	ያሰባብራል	ያሰባብር	አሰባብር	አሰባብሮ	ማሰባበር	አሰባባሪ	cause to shatter	t
አሳተ	አስቷል	ያስት	ያስታል	ያስት	አስት	አስቶ	ማሳት	አሳች	cause to err	t
አስተማረ	አስተምሯል	ያስተምር	ያስተምራል	ያስተምር	አስተምር	አስተምሮ	ማስተማር	አስተማሪ	teach	t
አስተኛ	አስተኝቷል	ያስተኛ	ያስተኛል	ያስተኛ	አስተኛ	አስተኝቶ	ማስተኛት		send to sleep	t
አስተከለ	አስተክሏል	ያስተክል	ያስተክላል	ያስተክል	አስተክል	አስተክሎ	ማስተከል	አስተካይ	cause to plant	t
አስተካከለ	አስተካክሏል	ያስተካክል	ያስተካክላል	ያስተካክል	አስተካክል	አስትካክሎ	ማስተካከል	አስተካካይ	equalize	t
አስተዋለ	አስተውሏል	ያስተውል	ያስተውላል	ያስተውል	አስተውል	አስተውሎ	ማስተዋል	አስተዋይ	notice	t
አስታወሰ	አስታውሷል	ያስታውስ	ያስታውሳል	ያስታውስ	አስታውስ	አስታውሶ	ማስታወስ	አስታዋሽ	remind (of)	t
አስታወቀ	አስታውቋል	ያስታውቅ	ያስታውቃል	ያስታውቅ	አስታውቅ	አስታውቆ	ማስታወቅ	አስታዋቂ	inform	t
አስታየ 2nd አስታየህ	አስታይቷል	ያስታይ	ያስታያል	ያስታይ	አስታይ	አስታይቶ	ማስታየት		cause to be seen	t
አስቸገረ	አስቸግሯል	ያስቸግር	ያስቸግራል	ያስቸግር	አስቸግር	አስቸግሮ	ማስቸገር	አስቸጋሪ	trouble	t
አስነሣ	አስነሥቷል	ያስነሣ	ያስነሣል	ያስነሣ	አስነሣ	አስነሥቶ	ማስነሣት	አስነሽ	rouse	t
አስናበተ	አሰናብቷል	ያሰናብት	ያስናብታል	ያሰናብት	አሰናብት	አሰናብቶ	ማሰናበት	አስናባች	dismiss	t
አሰናዳ	አሰናድቷል	ያሰናዳ	ያሰናዳል	ያሰናዳ	አሰናዳ	አሰናድቶ	ማሰናዳት	አሰናጅ	prepare	t
አሰኘ 2nd አሰኘህ	አሰኝቷል	ያሰኝ	ያሰኛል	ያሰኝ	አሰኝ	አሰኝቶ	ማሰኘት		cause to be 	t
አሳከለ	አሳክሏል	ያሳክል	ያሳክላል	ያሳክል	አሳክል	አሳክሎ	ማሳከል	አሳካይ	cause to increase	t
አስከለከለ	አስከልክሏል	ያስከለክል	ያስከልክላል	ያስከለክል	አስከልክል	አስከልክሎ	ማስከልከል	አስከልካይ	cause to hinder	t
አስካካ	አስካክቷል	ያስካካ	ያስካካል			አስካክቶ	ማስካካት		neigh	t
አስኬደ	አስኬዷል	ያስኬድ	ያስኬዳል	ያስኪድ	አስኪድ	አስኬዶ	ማስኬድ	አስካጅ	let pass	t
አስከፈለ	አስከፍሏል	ያስከፍል	ያስከፍላል	ያስከፍል	አስከፍል	አስከፍሎ	ማስከፈል	አስከፋይ	cause to divide	t
አስኼደ	አስኺዷል	ያስኼድ	ያስኼዳል	ያስኺድ	አስኺድ	አስኺዶ	ማስኼድ	ያስኺያጅ	let pass	t
አስወሰደ	አስወስዷል	ያስወስድ	ያስወስዳል	ያስወስድ	አስወስድ	አስወስዶ	ማስወሰድ	አስወሳጅ	cause to remove	t
አሳየ 2nd አሳየህ	አሳይቷል	ያሳይ	ያሳያል	ያሳይ	አሳይ	አሳይቶ	ማሳየት	አሳዪ	show	t
አስያዘ	አስይዟል	ያስይዝ	ያስይዛል	ያስይዝ	አስይዝ	አስይዞ	ማስያዝ	አስያዢ	cause to catch	t
አስደረገ	አስደርጓል	ያስደርግ	ያስደርጋል	ያስደርግ	አስደርግ	አስደርጎ	ማስደረግ	አስደራጊ	cause to do	t
አሳደገ	አሳድጓል	ያሳድግ	ያሳድጋል	ያሳድግ	አሳድግ	አሳድጎ	ማሳደግ	አሳዳጊ	rear	t
አስገደለ	አስገድሏል	ያስገድል	ያስገድላል	ያስገድል	አስገድል	አስገድሎ	ማስገደል	አስገዳይ	cause to kill	t
አስጌጠ	አስጊጧል	ያስጌጥ	ያስጌጣል	ያስጊጥ	አስጊጥ	አስጊጦ	ማስጌጥ		adorn	t
አሰጣ	አስጥቷል	ያሰጣ	ያሰጣል	ያስጣ	አስጣ	አስጥቶ	ማስጣት	አስጭ	spread out	t
አስጠጋ	አስጠግቷል	ያስጠጋ	ያስጠጋል	ያስጠጋ	አስጠጋ	አስጠግቶ	ማስጠጋት	አስጠጊ	cause to lean	t
አሰፋ	አስፍቷል	ያሰፋ	ያሰፋል	ያስፋ	አስፋ	አስፍቶ	ማስፋት	አስፊ	extend	t
አስፈለገ	አስፈልጓል	ያስፈልግ	ያስፈልጋል	ያስፈልግ	አስፈልግ	አስፈልጎ	ማስፈለግ	አስፈላጊ	cause to seek	t
አስፈራ	አስፈርቷል	ያስፈራ	ያስፈራል	ያስፈራ	አስፈራ	አስፈርቶ	ማስፈራት	አስፈሪ	frighten	t
አስፈራራ	አስፈራርቷል	ያስፈራራ	ያስፈራራል	ያስፈራራ	አስፈራራ	አስፈራርቶ	ማስፈራራት		threaten	t
አስፈታ	አስፈትቷል	ያስፈታ	ያስፈታል	ያስፈታ	አስፈታ	አስፈትቶ	ማስፈታት	አስፈች	cause to untie	t
አሸ 2nd አሸህ	uses parts of [እ]ሻ								seek	t
አሸ 2nd አሸህ	አሽቷል	ያሽ	ያሻል	ይሽ	እሽ	አሽቶ	ማሸት		rub	t
አሻቀበ	አሻቅቧል	ያሻቅብ	ያሻቅባል	ያሻቅብ	አሻቅብ	አሻቅቦ	ማሻቀብ	አሻቃቢ	turn upwards	i
አሸተተ	አሽቷል	ያሸት	ያሸታል	ያሽት	አሽት	አሽቶ	ማሽተት	አሽታች	smell	t
አሸከመ	አሸክሟል	ያሸክም	ያሸክማል	ያሸክም	አሸክም	አሸክሞ	ማሸከም	አሸካሚ	load	t
አሾከሾከ	አሾከሹኳል [-ሽኳል]	ያሾከሹክ	ያሾከሹካል	ያሾከሹክ [-ሽክ]	አሾከሹክ [-ሽክ]	አሾከሹኮ [-ሽኮ]	ማሾከሾክ	አሾክሿኪ	talk scandal	i
አሽካካ	አሽካክቷል	ያሽካካ	ያሽካካል			አሽካክቶ	ማሽካካት		cluck	i
አሻገረ	አሻግሯል	ያሻግር	ያሻግራል	ያሻግር	አሻግር	አሻግሮ	ማሻገር	አሻጋሪ	take across	t
አቈላመጠ [አንቈ- G.]	አቈላምጧል [አንቈ-]	ያቈላምጥ [ያንቈ-]	ያቈላምጣል [ያንቈ-]	ያቈላምጥ [ያንቈ-]	አቆላምጥ [አንቆ-]	አቈላምጦ [አንቈ-]	ማቈላመጥ [ማንቈ-]	አቈላማጭ [አንቈ-]	caress	t
አቀለጠ	አቅልጧል	ያቀልጥ	ያቀልጣል	ያቅልጥ	አቅልጥ	አቅልጦ	ማቅለጥ	አቅላጭ	melt	t
አቆመ	አቁሟል	ያቆም	ያቆማል	ያቁም	አቁም	አቁሞ	ማቆም	አቋሚ	station	t
አቅራራ	አቅራርቷል	ያቅራራ	ያቅራራል	ያቅራራ	አቅራራ	አቅራርቶ	ማቅራራት	አቅራሪ	chant	i
አቀራረበ	አቀራርቧል	ያቀራርብ	ያቀራርባል	ያቀራርብ	አቀራርብ	አቀራርቦ	ማቀራረብ	አቀራራቢ	put close together	t
አቀረበ	አቅርቧል	ያቅርብ	ያቀርባል	ያቅርብ	አቅርብ	አቅርቦ	ማቅረብ	አቅራቢ	bring near	t
አቈሰለ	አቍስሏል	ያቈስል	ያቈስላል	ያቍስል	አቍስል	አቍስሎ	ማቍሰል	አቍሳይ	wound	t
አቀና	አቅንቷል	ያቀና	ያቀናል	ያቅና	አቅና	አቅንቶ	ማቅናት	አቅኝ	straighten	t
አቈየ 2nd አቈየህ etc.	አቈይቷል	ያቈይ	ያቈያል	ያቈይ	አቈይ	አቈይቶ	ማቈየት		delay	t
አቃጠለ	አቃጥሏል	ያቃጥል	ያቃጥላል	ያቃጥል	አቃጥል	አቃጥሎ	ማቃጠል	አቃጣይ	burn	t
አቀፈ	አቅፏል	ያቅፍ	ያቅፋል	ይቀፍ	እቀፍ	አቅፎ	ማቀፍ	አቃፊ	embrace	t
አበለ	አብሏል	ያብል	ያብላል	neg. አይበል	neg. አትበል	አብሎ	ማበል	አባይ	break one's word	i
አበላ	አብልቷል	ያበላ	ያበላል	ያብላ	አብላ	አብልቶ	ማብላት	አብይ	feed	t
አበላሸ 2nd አበላሸህ	አበላሽቷል	ያበላሽ	ያበላሻል	ያበላሽ	አበላሽ	አበላሽቶ	ማበላሸት	አበላሺ	spoil	t
አበለጠ	አብልጧል	ያበልጥ	ያበልጣል	ያብልጥ	አብልጥ	አብልጦ	ማብለጥ	አብላጭ	increase	t
አብለጨለጨ		ያብለጨልጭ	ያብለጨልጫል			አብለጭልጮ	ማብለጭልጭ		glitter	t
አበራ	አብርቷል	ያበራ	ያበራል	ያብራ	አብራ	አብርቶ	ማብራት	አብሪ	shine	t
