# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
ደራ	ይደራል	ደርቶ	ይድራ	መድራት	ደሪ	be bustling	አ	ደራህ		i	3
ደቀለ	ያዳቅላል	አዳቅሎ	ያዳቅል	ማዳቀል	አዳቃይ	cross-breed, fuse	ተ, #	ደህቀለ		i	1h
ደቀለ	ይደቅላል	ደቅሎ	ይደቅል	መደቀል	ዲቃላ	bear illegitimate child	ተ	ደቀ፟ለ		t	2
ደቀቀ	ይደቃል	ደቆ	ይድቀቅ	መድቀቅ	ደቃቅ	be fine, thin	አ			i	1f
ደቀደቀ	ይደቀድቃል	ደቅድቆ	ይደቅድቅ	መደቅደቅ	ደቅዳቂ	pound, stamp	ተ			t	9
ደቃ	ይደቃል	ደቅቶ	ይድቃ	መድቃት	ደቂ	beat the breast	ተ	ደቃህ		t	3
ደቆሰ	ይሰቁሳል	ደቁሶ	ይደቁስ	መደቆስ	ደቋሽ	pulverize	ተ	ደቆ፟ሰ		t	2c
ደበለ	ይደብላል	ደብሎ	ይደብል	መደበል	ደባል	room with someone	አስ	ደበ፟ለ			2
ደበለለ	ይደበልላል	ደብልሎ	ይደብልል	መደብለል	ደብላይ	throw in wrestling	ተ			t	9
ደበቀ	ይደብቃል	ደብቆ	ይደብቅ	መደበቅ	ደባቂ	hide	ተ	ደበ፟ቀ		t	2
ደበነ	ይደብናል	ደብኖ	ይድበን	መድበን	ደባኝ	be tight (of knot)	አ			i	1
ደበዘዘ	ይደበዝዛል	ደብዝዞ	ይደብዝዝ	መደብዘዝ	ደብዛዥ	tarnish	አ			i	9
ደበደበ	ይደበድባል	ደብድቦ	ይደብድብ	መደብደብ	ደብዳቢ	hit, massacre	ተ			t	9
ደባለቀ	ይደባለቃል	ተደባልቆ	ይደባለቅ	መደባለቅ	ደባላቂ	mix	ተ	ደባህለቀ		t	9i
ደነሰ	ይደንሳል	ደንሶ	ይደንስ	መደነስ	ደናሽ	dance	ተ	ደነ፟ሰ		i	2
ደነቀ	ይደንቃል	ደንቆ	ይድነቅ	መድነቅ	ደናቂ	wonder	አ, ተ			opt. imp.	1
ደነቀረ	ይደነቅራል	ደንቅሮ	ይደንቅር	መደንቀር	ደንቃሪ	stick into	ተ			i	9
ደነቆረ	ይደነቁራል	ደንቁሮ	ይደንቁር	መደንቆር	ደንቋሪ	be deaf, stupid	አ			i	9d
ደነበረ	ይደነብራል	ደንብሮ	ይደንብር	መደንበር	ደንባሪ	bolt (horse)	አስ			i	9
ደነባ	ይደነባ	ደንብቶ1	ይደንባ	መደንባት	ደንቢ	assign	ተ	ደነባህ		t	10
ደነዘ	ይደንዛል	ደንዞ	ይደንዝ	መደነዝ	ደነዝ	be dull, blunt	አ	ደነ፟ዘ		i	2
ደነዘዘ	ይደነዝዛል	ደንዝዞ	ይደንዝዝ	መደንዘዝ	ደንዛዢ	be dull, grow numb	አ			i	9
ደነደነ	ይደነድናል	ደንድኖ	ይደንድን	መደንደን	ደንዳኝ	be fat, plump	አ			i	9
ደነገገ	ይደነግጋል	ደንግጎ	ይደንግግ	መደንገግ	ደንጋጊ	decree, make a law	አስ			i	9
ደነገጠ	ይደነግጣል	ደንግጦ	ይደንግጥ	መደንገጥ	ድንጉጥ	be scared	አስ			i	9
ደነፋ	ይደነፋል	ደንፍቶ	ይደንፋ	መደንፋት	ደንፊ	brag, boast	አስ	ደነፋህ		i	10
ደናቀፈ	ያደናቅፋል	አደናቅፎ	ያደናቅፍ	መደናቀፍ	አደናቃፊ	stumble, trip up	 	ሀናቀፈ		imp.	9a
ደከመ	ይደክማል	ደክሞ	ይድከም	መድከም	ደካሚ	be tired	አ			opt. imp. 	1
ደኽየ	ይደኽያል	ደኽይቶ	ይደኽይ	መደኽየት	ደኻ	be poor	አ	ደኽየህ		i	11
ደወለ	ይደውላል	ደውሎ	ይደውል	መደወል	ደዋይ	ring	ተ	ደወ፟ለ		t	2
ደደቀ	ይደድቃል	ደድቆ	ይደድቅ	መደደቅ	ደዳቂ	level land	ተ	ደደ፟ቀ		t	2
ደደበ	ይደድባል	ደድቦ	ይደድብ	መደደብ	ደደብ	be stubborn	አ, #	ደደ፟በ		i	2
ደገመ	ይደግማል	ደግሞ	ይድገም	መድገም	ደጋሚ	repeat	ተ			t	1
ደገሰ	ይደግሳል	ደግሶ	ይደግስ	መደገስ	ደጋሽ	arrange a banquet	ተ	ደገ፟ሰ		i, (takes cog. obj.)	2
ደገነ	ይደግናል	ደግኖ	ይደግን	መደገን	ደጋኝ	point (gun, arrow), aim	ተ	ደገ፟ነ		t	2
ደገፈ	ይደግፋል	ደግፎ	ይደግፍ	መደገፍ	ደጋፊ	support	ተ	ደገ፟ፈ	ገደ፟ፈ	t	2
ደጎሰ	ይደጉሳል	ደጉሶ	ይደጉስ	መደጎስ	ደጓሽ	make design on leather	ተ	ደጎ፟ሰ		t	2c
ደፈረ	ይደፍራል	ደፍሮ	ይድፈር	መድፈር	ደፋሪ	dare	ተ			t	1
ደፈረሰ	ይደፈርሳል	ደፍርሶ	ይደፍርስ	መደፍረስ	ደፍራሽ	become muddy, turbid	አ			i	9
ደፈቀ	ይደፍቃል	ደፍቆ	ይድፈቅ	መድፈቅ	ደፋቂ	immerse	ተ			t	1
ደፈነ	ይደፍናል	ደፍኖ	ይድፈን	መድፈን	ደፋኝ	close up	ተ			t	1
ደፋ	ይደፋል	ደፍቶ	ይድፋ	መድፋት	ደፊ	spill, pour out	ተ	ደፋህ		t	3
ዳመጠ	ይዳምጣል	ዳምጦ	ይዳምጥ	መዳመጥ	ዳማጭ	gin	ተ	ዳህመጠ		t	1h
ዳረ	ይድራል	ድሮ	ይዳር	መዳር	ዳሪ	give in marriage	ተ	ዳህረ		t	7
ዳሰ	ይድሳል	ድሶ	ይዳስ	መዳስ	ዳሺ	put up tent, crush	ተ	ዳህሰ		t	7
ዳሰሰ	ይዳስሳል	ዳስሶ	ይዳስስ	መዳሰስ	ዳሳሽ	to touch lightly, caress	ተ	ዳህሰሰ		t	1hf
ዳበረ	ይዳብራል	ዳብሮ	ይዳብር	መዳበር	ዳባሪ	expand	አ, #	ዳህበረ		i	1h
ዳበሰ	ይዳብሳል	ዳብሶ	ይዳብስ	መዳበስ	ዳባሽ	feel, search	አስ	ዳህበሰ		i	1h
ዳነ	ይድናል	ድኖ	ይዳን	መዳን	ዳኚ	heal, recover	አ	ዳህነ		i	7
ዳኘ	ይዳኛል	ዳኝቶ	ይዳኝ	መዳኘት	ዳኚ	arbitrate, judge	አስ	ዳህኘ፟ህ		i	6h
ዳየ	ይድሃል	ድህዮ	ይዳህይ	መዳየት	ዳይ	crawl (baby)	አስ	ዳህየ		i	7
ዳዳ	ይዳዳል	ዳድቶ	ይዳዳ	መዳዳት	የሚዳዳ	tempt		ዳህዳህ			3h
ዳጠ	ይድጣል	ድጦ	ይዳጥ	መዳጥ	ዳጪ	run over	ተ	ዳህጠ		t	7
ዶለ	ይዶላል	ዶሎ	ይዱል	መዶል	ዷይ	insert, put in	ተ			t	8w
ዶለተ	ይዶልታል	ዶልቶ	ይዶልት	መዶለት	ዶላች	scheme, plot	አስ	ዶለ፟ተ		i	2b
ዶለዶመ	ይዶለዱላል	ዶልዱሎ	ይዶልዱል	መዶልዶል	ዱልዱም	be blunt	አ			i	9bd
ዶመ	ይዶማል	ዶሞ	ይዱም	መዶም	ዶማ	be dull, blunt				i	8w
ጀለ	ይጀላል	ጀሎ	ይጅል	መጀል	ጅል	be foolish, ugly		ጀʸለ		i	8y
ጀመለ	ይጀምላል	ጀምሎ	ይጀምል	መጀመል	ጀማይ	add	ተ	ጀመ፟ለ		t, (inus.)	2
ጀመረ	ይጀምራል	ጀምሮ	ይጀምር	መጀመር	ጀማሪ	begin	ተ	ጀመ፟ረ		t	2
ጀቦነ	ይጀቡናል	ጀቡኖ	ይጀቡን	መጀቦን	ጀቧኝ	cover air-tight	ተ	ጀቦ፟ነ		t	2c
ጀነነ	ይጀነናል	ትጀንኖ	ይጀነን	መጀነን	ጅንን	swagger	ተ	ጀነ፟ነ		denon. Imp.	2f
ጃጀ	ይጃጃል	ጃጅቶ	ይጃጅ	መጃጀት	ጃጂ	become senile	አ	ጃህጀ፟ህ	ዣህዠ፟ህ	i	6h
ገለለ	ይገለላል	ገልሎ	ይገለል	መገለል	ገላይ	cut grass	ተ			t	1f
ገለሞተ	ይገለሙታል	ገልሙቶ	ይገልሙት	መገልሞት	ገልሟች	live by prostitution	አ			i	9d
ገለሸጠ	ይገለሽጣል	ገልሽጦ	ይገልሽጥ	መገልሸጥ	ገልሻጭ	scrape, skin	ተ			t	9
ገለበጠ	ይገለብጣል	ገልብጦ	ይገልብጥ	መገልበጥ	ገልባጭ	copy, pour in, invert	ተ			t	9
ገለጀጀ	ይገለጅጃል	ገልጅጆ	ይገልጅጅ	መገልጀጅ	ገልጃጃ	be stupid	አ		ገዠለዠ	i	9
ገለጸ	ይገልጻል	ገልጾ	ይግለጽ	መግለጽ	ገላጭ	explain	ተ		ገለጠ	t	1
ገላመጠ	ይገላምጣል	ገላምጦ	ይገላምጥ	መገላመጥ	ገላማጭ	glare at	ተ	ገላህመጠ		t	9i
ገላገለ	ይገላግላል	ገላግሎ	ይገላግል	መገላገል	ገላጋይ	separate, arbitrate	ተ	ገላህገለ		t	9i
ገመሰ	ይገምሳል	ገምሶ	ይግመስ	መግመስ	ገማሺ	cut in two; plow	ተ			t	1
ገመተ	ይገምታል	ገምቶ	ይገምት	መገመት	ገማች	estimate, guess	ተ	ገመ፟ተ		t 	2
ገመደ	ይገምዳል	ገምዶ	ይግመድ	መግመድ	ገማጅ	make rope	ተ			t	1
ገመደ	ይገምዳል	ገምዶ	ይገምድ	መገመድ	ገማጂ	form a convent	አ, #	ገመ፟ደ		t, denom.	2
ገመገመ	ይገመግማል	ገምግሞ	ይገምግም	መገምገም	ገምጋሚ	evaluate, sound out	ተ			t	9
ገመጠ	ይገምጣል	ገምጦ	ይግመጥ	መግመጥ	ገማጭ	bite off	አ, ተ			t	1
ገማ	ይገማል	ገምቶ	ይግማ	መግማት	ገሚ	stink	አ	ገማህ		i	3
ገረመ	ይገርማል	ተገርሞ	ይገረም	መገረም	ገራሚ	astonish	ተ			opt. imp.	1
ገረረ	ይገራል	ገሮ	ይግረር	መግረር	ገራራ	be scorching (sun)	አ			i	1f
ገረዘ	ይገርዛል	ገርዞ	ይግረዝ	መግረዝ	ገራዢ	circumcise	ተ		ገዘረ		1
ገረደ	ይገርዳል	ገርዶ	ይገርድ	መገረድ	ገራጅ	make a servant				t, denom.	1
ገረደፈ	ይገረድፋል	ገርድፎ	ይገርድፍ	መገርደፍ	ገርዳፊ	pound coarsely	ተ			t	9
ገረገረ	ይገረግራል	ገርግሮ	ይገርግር	መገርገር	ገርጋሪ	stop short	ተ			t	9
ገረጣ	ይገረጣል	ገርጥቶ	ይገርጣ	መገርጣት	የገረጣ	fade, become yellow	አ	ገረጣህ		i	10
ገረፈ	ይገርፋል	ገርፎ	ይግረፍ	መግረፍ	ገራፊ	whip	ተ			t	1
ገራ	ይገራል	ገርቶ	ይግራ	መግራት	ገሪ	tame	ተ	ገራህ		t	3
ገሰሰ	ይገስሳል	ገሶ	ይገስስ	መገሰስ	ግስስ	deprive, cancel	ተ			t	1f
ገሰሰ	ይገስሳል	ገስሶ	ይገስስ	መገሰስ	ገሳሽ	admonish	ተ	ገሰ፟ሰ		t	2
ገሰገሰ	ይገሰግሳል	ገስግሶ	ይገስግስ	መገስገስ	ገስጋሽ	travel fast	አስ			i	9
ገበረ	ይገብራል	ገብሮ	ይገብር	መገበር	ገባሪ	improve, pay tax	ተ	ገበ፟ረ		i	2
ገበዘ	ይገብዛል	ገብዞ	ይገብዝ	መገበዝ	ገባዥ	plaster, appoint to head church	ተ	ገበ፟ዘ		t	2
ገበየ	ይገበያል	ገብይቶ	ይገበይ	መገብየት	ገብይ	go to market and buy	ተ	ገበየህ		i, denom	11
ገባ	ይገባል	ገብቶ	ይግባ	መግባት	ገቢ	arrive, enter	አ	ገባህ		i	3
ገተረ	ይገትራል	ገትሮ	ይገትር	መገተር	ገታሪ	be stubborn, stretch tight	ተ	ገተ፟ረ		t	2
ገታ	ይገታል	ግትቶ	ይግታ	መግታት	ገቺ	hold up, stop	ተ	ገታህ		i	3
ገነባ	ይገነባል	ገንብቶ	ይገንባ	መገንባት	ገንቢ	build in stone	ተ	ገነባህ		t	10
ገነነ	ይገናል	ገኖ	ይግነን	መገነን	ገናና	increase	አ			i	1f
ገነዘ	ይገንዛል	ገንዞ	ይገንዝ	መገነዝ	ገናዥ	enshroud	ተ	ገነ፟ዘ		t	2
ገነደሰ	ይገነድሳል	ገንድሶ	ይገንድስ	መገንደስ	ገንዳሽ	topple	ተ			t	9
ገነጠለ	ይገነጥላል	ገንጥሎ	ይገንጥል	መገንጠል	ገንጣይ	tear off	ተ			t	9
ገነፈለ	ይገነፍላል	ገንፍሎ	ይገንፍል	መገንፈል	ገንፋይ	boil over	አ			i	9
ገዘረ	ይገዝራል	ገዝሮ	ይግዘር	መግዘር	ገዛሪ	circumcise (grz)	ተ		ገረዘ	t	1
ገዘተ	ይገዝታል	ገዝቶ	ይገዝት	መገዘት	ገዛች	excommunicate	ተ	ገዘ፟ተ	ዠመ፟ረ	t	2
ገዘገዘ	ይገዘግዛል	ገዝግዞ	ይገዝግዝ	መገዝገዝ	ገዝጋዥ	cut with difficulty	ተ			t	9
ገዘፈ	ይገዝፋል	ገዝፎ	ይግዘፍ	መግዘፍ	ገዛፊ	be thick	አ			i	1
ገዛ	ይገዛል	ገዝቶ	ይግዛ	መግዛት	ገዢ	buy, rule	ተ	ገዛህ		t	3
ገደለ	ይገድላል	ገድሎ	ይግደል	መግደል	ገዳይ	kill	ተ			t	1
ገደበ	ይገድባል	ገድቦ	ይገድብ	መገደብ	ገዳቢ	dam	ተ	ገደ፟በ		t	2
ገደደ	ይገደዳል	ግድ	ይገደድ	መገደድ	ግዳጅ	be lacking	አ, ተ			i	1f
ገደፈ	ይገድፋል	ገድፎ	ይግደፍ	መግደፍ	ገዳፊ	break a fast	ተ			t	1
ገደፈ	ይገድፋል	ገድፎ	ይገድፍ	መገደፍ	ገዳፊ	support		ገደ፟ፈ	ደገ፟ፈ		2
ገገረ	ይገግራል	ገግሮ	ይገግር	መገገር	ገጋሪ	look wrathfully	#	ገገ፟ረ		i	2
ገጠመ	ይገጥማል	ገጥሞ	ይግጠም	መግጠም	ገጣሚ	encounter; join	ተ			t	1
ገጨ	ይገጫል	ገጭቶ	ይግጭ	መግጨት	ገጨ	knock	ተ	ገጨህ		t	5
ገጨ	ይገጫል	ገጭቶ	ይግጭ	መግጨት	ገጪ	sling		ገህጨ፟ህ		t 	6h
ገፈፈ	ይገፍፋል	ገፎ	ይግፈፍ	መግፈፍ	ገፋፊ	skin (animal)	ተ			t	1f
ገፋ	ይገፋል	ገፍቶ	ይግፋ	መግፋት	ገፊ	push	ተ	ገፋህ		t	3
ጋለ	ይግላል	ግሎ	ይጋል	መጋል	ጋይ	become red-hot	አ	ጋህለ		i	7
ጋለለ	ይንጋለላል	ተንጋሎ	ይንጋለል	መንጋለል	ተንጋላይ	lie back		*ጋህለለ			1hf
ጋለበ	ይጋልባል	ጋልቦ	ይጋልብ	መጋለብ	ጋላቢ	gallop, ride	አስ	ጋህለበ		t	1h
ጋረደ	ይጋርዳል	ጋርዶ	ይጋርድ	መጋረድ	ጋራጅ	put up curtains	ተ	ጋህረደ		t	1h
ጋበዘ	ይጋብዛል	ጋብዞ	ይጋብዝ	መጋበዝ	ጋባዥ	invite	ተ	ጋህበዘ		t	1h
ጋተ	ይግታል	ግቶ	ይጋት	መጋት	ጋቺ	give to drink, force to drink	ተ	ጋህተ		t	7
ጋዘ	ያግዛል	አግዞ	ያግዝ	ማጋዝ	አጋዥ	banish	አ	ጋህዘ		i	7
ጋየ	ይጋያል	ጋይቶ	ይጋይ	መጋየት	ጋዪ	burn	አ	ጋህየ፟ህ		i	6h
ጋዳ	6	6	6	6	6	fetter	ተ	ጋህዳህ		t, denom	3h
ጋገረ	ይጋግራል	ጋግሮ	ይጋግር	መጋገር	ጋጋሪ	bake bread	ተ	ጋህገረ		t	1h
ጋጋ	6	6	6	መጋጋት	6	slap		ጋህጋህ		t 	3h
ጋጠ	ይግጣል	ግጦ	ይጋጥ	መጋጥ	ጋጪ	gnaw	አስ	ጋህጠ		t	7
ጋፈ	ይግፋል	ግፎ	ይጋፍ	መጋፍ	ጋፊ	guzzle	ተ	ጋህፈ		t	7
ጌጠ	ያጌጣል	አጊጦ	ያጊጥ	ማጌጥ	ጌጠኛ	be decorated	አ, ተ	ጌʸጠ		i	8y
ጎለመሰ	ይጎለምሳል	ጎልምሶ	ይጎልምስ	መጎልመስ	ጎልማሳ	mature	አ			i	9b
ጎለበተ	ይጎለብታል	ጎልብቶ	ይጎልብት	መጎልበት	ጎልባች	get strong				i, denom. 	9b
ጎላ	ይጎላል	ጎልቶ	ይጉላ	መጉላት	ጎይ	be clear, magnified	አ, ተ	ጎላህ		i	3b
ጎላጀ	ይንጎላጃል	ተንጎላጅቶ	ይንጎላጅ	መንጎላጀት	ገለጀጅ	doze, drowse		*ጎላህጀህ			11bi
ጎመዘዘ	ይጎመዝዛል	ጎምዝዞ	ይጎምዝዝ	መጎምዘዝ	ጎምዛዛ	taste sour	አ			i	9b
ጎመጀ	ይጎመጃል	ጎምጅቶ	ይጎምጅ	መጎምጀት	ጎምጂ	crave, desire	አስ	ጎመጀህ		i	11b
ጎረበጠ	ይጎረብጣል	ጎርብጦ	ይጎርብጥ	መጎርበጥ	ጎርባጣ	be uncomfortable	አ			i	9b
ጎረና	ይጎረናል	ጎርንቶ	ይጎርን	መጎርናት	ጎርኚ	taste burnt		ጎረናህ			11b
ጎረጎረ	ይጎረጉራል	ጎርጉሮ	ይጎርጉር	መጎርጎር	ጎርጓሪ	find out, inspect	ተ			t	9bd
ጎሰመ	ይጎስማል	ጎስሞ	ይጎስም	መጎሰም	ጎሳሚ	stretch oneself		ጎህሰመ			1h
ጎሰጎሰ	ይጎሰጉሳል	ጎስጉሶ	ይጎስጉስ	መጎስጎስ	ጎስጓሽ	cram, devour, stuff	ተ			t	9bd
ጎሰጎሰ	ይጎሰጉሳል	ጎስጉሶ	ይጎስጉስ	መጎስጎስ	ጎስጓሽ	cram, stuff	ተ			t	9
ጎሸመ	ይጎሽማል	ጎሽሞ	ይጎሽም	መጎሸም	ጎሻሚ	poke in ribs	ተ	ጎሸ፟መ		t	2b
ጎበኘ	ይጎበኛል	ጎብኝቶ	ይጎብኝ	መጎብኝት	ጎብኚ	visit	ተ	ጎበኘህ		t	11b
ጎበዘ	ይጎብዛል	ጎብዞ	ይጎብዝ	መጎበዝ	ጎበዝ	be smart, strong, brave	አ 	ጎበ፟ዘ		i	2b
ጎተተ	ይጎትታል	ጎትቶ	ይጎትት	መጎተት	ጎታች	pull, drag	ተ	ጎተ፟ተ		t	2bf
ጎነጎነ	ይጎነጉናል	ጎንጉኖ	ይጎንጉን	መጎንጎን	ጎንጓኝ	braid, plait	ተ			t	9bd
ጎዘጎዘ	ይጎዘጉዛል	ጎዝጉዞ	ይጎዝጉዝ	መጎዝጎዝ	ጎዝጓዥ	cover ground with dry grass	ተ			t	9bd
ጎደጎደ	ይጎደጉዳል	ጎድጉዶ	ይጎድጉድ	መጎድጎድ	ጉድጓጅ	sink, subside	አ			i	9bd
ጎዳ	ይጎዳል	ጎድቶ	ይጉዳ	መጉዳት	ጎጂ	harm, injure	ተ	ጎዳህ		t	3b
ጎዳኘ	ይጎዳኛል	ተጎዳኝቶ	ይጎዳኝ	መጎዳኘት	ተጓዳኝ	be a friend or associate	ተ	*ጎዳህኘህ		i	11bi
ጎጠጠ	8	8	8	8	8	be short, dare	አ	ጎጠ፟ጠ		i	2bf
ጎፈየ	ይጎፈያል	ጎፍይቶ	ይጎፈይ	መጎፍየት	ጉፋያ	be lean, thin	አስ	ጎፈየህ		i	11b
ጓዘ	ይጓዛል	ተጉዞ	ይጓዝ	መጓዝ	ተጓዥ	transport	ተ	*ጓህዘ		i	7
ጓጎለ	ይጓጉላል	ጓጉሎ	ይጓጉል	መጓጎል	ጓጓይ	be lumpy	አ, #	ጓህጎለ		i	1ch
ጓጎጠ	ይጓጉጣል	ጓጉጦ	ይጓጉጥ	መጓጎጥ	ጓጓጭ	poke finger in eye	አስ	ጓህጎጠ		i	1ch
ጓጓ	ይጓጓል	ጓጉቶ	ይጓጓ	መጓጓት	ጓጊ	desire, crave	አ	ጓህጓህ		i	3h
ጠለለ	ይጠልላል	ጠልሎ	ይጠልል	መጠለል	ጠላላ	be pure; shelter	አ			i	1f
ጠለቀ	ይጠልቃል	ጠልቆ	ይጥለቅ	መጥለቅ	ጠላቂ	dive, dip into, be deep	አ			i	1
ጠለየ	ይጠልያል	ጠላዮ	ይጠልይ	መጠለይ	ጠላይ	pray		ጠለ፟የ	ጸለ፟የ		2
ጠለፈ	ይጠልፋል	ጠልፎ	ይጥለፍ	መጥለፍ	ጠላፊ	kidnap, embroider	ተ			t	1
ጠላ	ይጠላል	ጠልቶ	ይጥላ	መጥላት	ጠይ	hate	ተ	ጠላህ		t	3
ጠመመ	ይጠምማል	ጠምሞ	ይጠምም	መጠመም	ጠማማ	be bent	አ			i	1f
ጠመረ	ያጣምራል	አጣምሮ	ያጣምር	ማጣመር	አጣማሪ	combine, fold arms	ተ, #			t	1
ጠመቀ	ይጠምቃል	ጠምቆ	ይጥመቅ	መጥመቅ	ጠማቂ	baptize, wring	ተ			t	1
ጠመዘዘ	ይጠመዝዛል	ጠምዝዞ	ይጠምዝዝ	መጠምዘዝ	ጠምዛዥ	wring, twist	ተ			t	9
ጠመደ	ይጠምዳል	ጠምዶ	ይጥመድ	መጥመድ	ጠማጅ	trap, yoke, turn against	አ, ተ			t	1
ጠመጠመ	ይጠመጥማል	ጠምጥሞ	ይጠምጥም	መጥምጠም	ጠምጣሚ	coil, wind	ተ			t	9
ጠማ	ይጠማል	ተጠምቶ	ይጠማ	መጠማት	ጥማተኛ	cause thirst, be thirsty	አ	ጠማህ		imp.	3
ጠረቃ	ይጠረቃል	ጠርቅቶ	ይጠርቃ	መጠርቃት	ጠርቂ	fill up, out	አ	ጠረቃህ		i	10
ጠረበ	ይጠርባል	ጠርቦ	ይጥረብ	መጥረብ	ጠራቢ	carve	ተ, አስ			t	1
ጠረዘ	ይጠርዛል	ጠርዞ	ይጠርዝ	መጠረዝ	ጠራዥ	bind a book	ተ	ጠረ፟ዘ		t	2
ጠረገ	ይጠርጋል	ጠርጎ	ይጥረግ	መጥረግ	ጠራጊ	sweep	ተ			t	1
ጠረጠረ	ይጠረጥራል	ጠርጥሮ	ይጠርጥር	መጠርጠር	ጠርጣሪ	doubt, suspect	ተ			i, t	9
ጠራ	ይጠራል	ጠርቶ	ይጥራ	መጥራት	ጠሪ	call, be pure	ተ, አ	ጠራህ		t, i	3
ጠቀለለ	ይጠቀልላል	ጠቅልሎ	ይጠቅልል	መጠቅለል	ጠቅላይ	wrap, roll up	ተ			t	9
ጠቀመ	ይጠቅማል	ጠቅሞ	ይጥቀም	መጥቀም	ጠቃሚ	be useful	ተ			t	1
ጠቀሰ	ይጠቅሳል	ጠቅሶ	ይጥቀስ	መጥቀስ	ጠቃሽ	mention, beckon	ተ			t	1
ጠቀጠቀ	ይጠቀጥቃል	ጠቅጥቆ	ይጠቅጥቅ	መጠቅጠቅ	ጠቅጣቂ	trample, press down	ተ			t	9
ጠቆመ	ይጠቁማል	ጠቁሞ	ይጠቁም	መጠቆም	ጠቋሚ	poke, betray	ተ	ጠቆ፟መ		t	2c
ጠቆረ	ይጠቁራል	ጠቁሮ	ይጥቆር	መጥቆር	ጠቋሪ	be black, tan	አ			i	1c
ጠበሰ	ይጠብሳል	ጠብሶ	ይጥበስ	መጥበስ	ጠባሽ	fry	ተ			t	1
ጠበቀ	ይጠብቃል	ጠብቆ	ይጥበቅ	መጥበቅ	ጠባቂ	be tight	አ			i	1
ጠበቀ	ይጠብቃል	ጠብቆ	ይጠብቅ	መጠበቅ	ጠባቂ	watch, guard	ተ	ጠበ፟ቀ		t	2
ጠበበ	ይጠብባል	ጠብቦ	ይጠብብ	መጠበብ	ጥብብ	be wise; be narrow	አ			i	1f
ጠባ	ይጠባል	ጠብቶ	ይጥባ	መጥባት	ጠቢ	dawn, suck	አ	ጠባህ		i, t	3
ጠነሰሰ	ይጠነስሳል	ጠንስሶ	ይጠንስስ	መጠንሰስ	ጠንሳሽ	brew	ተ			t	9
ጠነቆለ	ይጠነቁላል	ጠንቁሎ	ይጠንቁል	መጠንቆል	ጠንቋይ	tell a fortune, prick 	አስ			t	9d
ጠነበሰ	ይጠነብሳል	ጠንብሶ	ይጠንብስ	መጠንበስ	ጠንባሽ	give a strong blow unexpectedly	አስ			i	9
ጠነባ	ይጠነባል	ጠንብቶ	ይጠንባ	መጠንባት	ጥንብ	emit a bad smell, as in decay	አ	ጠነባህ		i	10
ጠነከረ	ይጠነክራል	ጠንክሮ	ይጠንክር	መጠንከር	ጠንካራ	be strong	አ			i	9
ጠነጠነ	ይጠነጥናል	ጠንጥኖ	ይጠንጥን	መጠንጠን	ጠንጣኝ	wind thread on spindle	አ			i	9
ጠወለገ	ይጠወልጋል	ጠውልጎ	ይጠውልግ	መጠውለግ	ጠውላጊ	fade, wither	አ			i	9
ጠየቀ	ይጠይቃል	ጠይቆ	ይጠይቅ	መጠየቅ	ጠያቂ	visit, ask	ተ	ጠየ፟ቀ		t	2
ጠገበ	ይጠግባል	ጠግቦ	ይጥገብ	መጥገብ	ጠጋቢ	be sated	አ			i	1
ጠገነ	ይጠግናል	ጠግኖ	ይጠግን	መጠገን	ጠጋኝ	bind, wrap	ተ	ጠገ፟ነ		t	2
ጠጠረ	ይጠጥራል	ጠጥሮ	ይጠጥር	መጠጠር	ጠጣር	be hard	አ	ጠጠ፟ረ		i	2
ጠጣ	ይጠጣል	ጠጥቶ	ይጠጣ	መጠጣት	ጠጪ	drink	አ,ተ	ጠጣ፟ህ		t	4
ጠፈጠፈ	ይንጠፈጠፋል	ተንጠፍጥፎ	ይንጠፍጠፍ	መንጠፍጠፍ	ጠፈጠፍ	flatten out, level	ተ			t	9
ጠፋ	ይጠፋል	ጠፍቶ	ይጥፋ	መጥፋት	ጠፊ	be lost, disappear	አ	ጠፋህ		i	3
ጣለ	ይጥላል	ጥሎ	ይጣል	መጣል	ጣይ	lose, drop, throw	ተ	ጣህለ		t	7
ጣመ	ይጥማል	ጥሞ	ይጣም	መጣም	ጡኡም	taste good	#	ጣህመ		imp.	7
ጣረ	ይጥራል	ጥሮ	ይጣር	መጣር	ጣሪ	try, struggle		ጣህረ		i	7
ጣሰ	ይጥሳል	ጥሶ	ይጣስ	መጣስ	ጣሺ	violate, break through	ተ	ጣህሰ		t	7
ጣደ	ይጥዳል	ጥዶ	ይጣድ	መጣድ	ጣጂ	bake, put on stove	ተ	ጣህደ		t	7
ጣፈጠ	ይጣፍጣል	ጣፍጦ	ይጣፍጥ	መጣፈጥ	ጣፋጭ	be sweet	አ	ጣህፈጠ		i 	1h
ጤሰ	ይጤሳል	ጤሶ	ይጤስ	መጤስ	ጫሽ	smoke	አ	ጤʸሰ	ጨʸሰ	i	8y
ጦመ						fast	አስ		ጾመ		8w
ጦረ	ይጦራል	ጦሮ	ይጡር	መጦር	ጧሪ	support the old	ተ			t	8w
ጦፈ	ይጦፋል	ጦፎ	ይጡፍ	መጦፍ	ጧፊ	burn, get furious	አስ			i	8w
