# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
አረደ	ያርዳል	አርዶ	ይረድ	ማረድ	አራጅ	slaughter (animal)	ተ	ሀረደ		t	1a
አረጀ	ያረጃል	አርጅቶ	ያርጅ	ማርጀት	አርጅ	grow old	አስ	ህረጀህ		i	11a
አረገ	ያርጋል	አርጎ	ያርግ	ማረግ	አራጊ	go up into heaven	አስ	ሀረ፟ገ		i	2a
አረገረገ	ያረገርጋል	አረግርጎ	ያረግርግ	ማረግረግ	ረግራጊ	be shaky	አ	*ረገረገ		i	9
አረገዘ	ይረገዛል	አርግዞ	ይረገዝ	ማርገዝ	እርጉዝ	be pregnant	አ, ተ	*ረገዘ		t	1
አረፈ	ያርፋል	አርፎ	ይረፍ	ማረፍ	አራፊ	rest	አስ	ሀረፈ		i	1a
አራ	ያራል	አአርቶ	ይራ	ማራት	አሪ	defecate	አስ	ሀራህ		i	3a
አሰላ	ያሰላል	አስልቶ	ያስላ	ማስላት	አስሊ	figure, reckon	አ, ተ	*ሰላህ		t	3
አሰላሰለ	ይሰለስላል	ሰልስሎ	ይሰልስል	መሰልሰል	ሰልሳይ	ponder		*ሰለሰለ			9
አሰመረ	ያሰምራል	አስምሮ	ያስምር	ማስመር	አስማሪ	make a line	አ, ተ	*ሰመረ		t	1
አሰመራ	ይሰምራል	ሰምሮ	ይስመር	6	ስሙር	graze, engage in	ተ	*ሰመራህ		i	10
አሰረ	ያስራል	አስሮ	ይሰር	ማሰር	አሳሪ	tie, imprison	ተ	ሀሰረ		i	1a
አሰራ	ያሰራል	አሰርቶ	ያሰራ	ማሰራት	አሰሪ	recoup, recover	ተን	*ሰራህ		dup.	3
አሰሰ	ያስሳል	አስሶ	ያስስ	ማሰስ	አሳሽ	scan, scour	ተ	አሰ፟ሰ		t	2af
አሰበ	ያስባል	አስቦ	ያስብ	ማሰብ	አሳቢ	think, intend	ተ	ሀሰ፟በ		t	2a
አሰኘ	ያሰኛል	አሰኝቶ	ይሰኝ	ማሰኘት	አሰኚ	say, feel	ተ	*ሰኘ፟ህ		i	6
አሰጣ	ያሰጣል	አስጥቶ	ያስጣ	ማስጣት	አስጪ	spread out in sun	አ, ተ	*ሰጣህ		t	3
አሳበቀ	ያሳብቃል	አሳብቆ	ያሳብቅ	ማሳበቅ	ሰባቂ	inform on		*ሰበቀ		i	1
አሳበበ	ያሳብባል	ሰቦ	ይሳበብ	ማሳበብ	ሰበብ	excuse		*ሰበበ			1f
አሴረ	ይሴራል	አሲሮ	ያሲር	ማሴር	ሴረኛ	plot, conspire	አ	*ሴʸረ		i	8y
አስረዳ	ይረዳል	ተረድቶ	ይረዳ	መረዳት	ተረጂ	realize	ተ	*ረዳህ		t	3
አስካካ	ያስካካል	አስካክቶ	ያስካካ	ማስካካት	ካካቴ	neigh, snort	ሽ	*ካህካህ			3h
አሸ	ያሻል	አሽቶ	ይሽ	ማሸት	አሺ	rib	ተ	ሀሸህ		t	5a
አሸመ	ያሽማል	አሽሞ	ያሽም	ማሸም	አሻሚ	braid hair	ተ	ሀሸ፟መ		t	2a
አሸማ	ያሻማል	አሻምቶ	ይሻማ	መሻማት	ተሻሚ	compete, scramble	ተ	*ሸህማህ		i	3h
አሸበረ	ይሸበራል	ተሸብሮ	ይሸበር	መሸበር	ሽብርተኛ	terror	ተ	*ሸበ፟ረ		t	2
አሸበረቀ	ያሸበርቃል	አሸብርቆ	ያሸብርቅ	ማሸብረቅ	ሽብርቅ	decorate	አ	*ሸበረቀ		i	9
አሸነፈ	ያሸንፋል	አሸንፎ	ያሸንፍ	ማሸነፍ	አሸናፊ	win	ተ	*ሸነ፟ፈ		i	2
አሸገ	ያሽጋል	አሽጎ	ያሽግ	ማሸግ	አሻጊ	seal, glue	ተ	ሀሸ፟ገ		t	2a
አሻ	ያሻል	ሽቶ	ይሻ	መሻት	አሽ	need, seek	አስ	ሀሻህ	ሻ	t	3a
አሻቀበ	ያሻቅባል	አሻቅቦ	ያሻቅብ	ማሻቀብ	አሻቃቢ	ascend		*ሻህቀበ			1h
አሾካሸከ	ይንሾካሾካል	ተንሾካሽኮ	ይንሾካሸክ	መንሾክሾክ	ተንሾክሿኪ	back bite 	አ	*ሾካሸከ		i	9bd
አሾፈ	ያሾፋል	አሹፎ	ያሹፍ	ማሾፍ	አሿፊ	tease, mock	አ			i	8w
አቀረሸ	ይቀረሻል	ቀርሽቶ	ያቅርሽ	ማቀርሸት	ቅርሳታም	regurgitate	አ	*ቀረሸህ			11
አቀደ	ይታቀዳል	አቅዶ	ይታቀድ	መታቀድ	አቃጂ	plan, design	ተ	ሀቀ፟ደ		t	2a
አቀፈ	ያቅፋል	አቅፎ	ይቀፍ	ማቀፍ	አቃፊ	embrace	ተ	ሀቀፈ		t	1a
አቃጠለ	ያቃጥላል	አቃጥሎ	ያቃጥል	ማቃጠል	አቃጣይ	light, burn		*ቃህጠለ		i	1h
አቃጨለ	ያቃጭላል	አቃጭሎ	ያቃጭል	ማቃጨል	አቃጫይ	clank		*ቃህጨለ			1h
አቄመ	ያቄማል	ቂሞ	ያቂም	ማቄም	ቂመኛ	hold grudge	አ	*ቄʸመ		i	8y
አቆለቆለ	ያሽቆለቁላል	አሽቆልቁሎ	ያሽቆልቁል	ማሽቆልቆል	አሽቆልቋይ	slope down, decline	አ	*ቆለቆለ		i	9bd
አቆላመጠ	ይቆላመጣል	አቆላምጦ	ይቆላመጥ	መቆላመጥ	አቆላማጭ	caress		*ቆላመጠ		t	9bi
አቆረቆረ	ይቆረቁራል	አንቆርቁሮ	ያንቆርቁር	ማንቆርቆር	አንቆርቋሪ	exude, pour out	አን	*ቆረቆረ			9bd
አቋጠ	ያቁጣል	አቁጦ	ያቁጥ	ማቋት	አቋች	annoy	ተ	*ቋጠ፟ህ		i	4b
አበለ	ያብላል	አብሎ	ያብል	ማበል	አባይ	tell lie	አስ	ሀበለ		i	1a
አበረ	ያብራል	አብሮ	ያብር	ማበር	አባሪ	Unite	አስ	ሀበ፟ረ		i	2a
አበሰ	ያብሳል	አብሶ	ያብስ	ማበስ	አባሽ	wipe (hand)	አስ	ሀበሰ		i	1a
አበሰረ	ያበስራል	አብስሮ	ያብስር	ማብሰር	አብሳሪ	announce	አ, ተ	*በሰረ		t	1
አበበ	ያብባል	አብቦ	ያብብ	ማበብ	አባቢ	bloom	አስ	አበ፟በ		i	2af
አበደ	ያብዳል	አብዶ	ይበድ	ማበድ	እብድ	be insane	አስ	ሀበደ		i	1a
አበጠ	ያብጣል	አብጦ	ይበጥ	ማበጥ	አባጭ	swell up	አስ	ሀበጠ		i	1a
አበጠ	ያብጣል	አብጦ	ያብጥ	ማበጥ	አብጥ	disturb	አስ	ሀበ፟ጠ		t	2a
አቤዠ	ይቤዣል	ቤዥቶ	ይቤዥ	መቤዠት	ቤዛ	be ransomed	ተ	*ቤʸዠ		i	8y
አብረቀረቀ	ይብረቀረቃል	ተብረቅርቆ	ይብረቅረቅ	መብረቅረቅ	አብረቅራቂ	shine		*በረቀ			1
አተመ	ያትማል	አትሞ	ያትም	ማተም	አታሚ	seal, print	ተ	ሀተ፟መ		t	2a
አተተ	ያትታል	አትቶ	ያትት	ማተት	አታች	comment, report	ተ	አተ፟ተ		t	2af
አነሆለለ	6	6	6	6	6	bewitch, stupefy, go bad 	አ	ነሆለለ 	ነኮለለ 	i	9c
አነሰ	ያንሳል	አንሶ	ያንስ	ማነስ	አናሲ	diminish	አስ	ሀነሰ		i	1a
አነቀ	ያንቃል	አንቆ	ይነቅ	ማነቅ	አናቂ	choke	ተ	ሀነቀ		t	1a
አነበበ	ይነበባል	ነቦ	ይነበብ	ማንበብ	አንባቢ	read	አ, ተ	*ነበበ		t	1f
አነበነበ	ያነበንባል	አነብንቦ	ያነብንብ	ማነብነብ	ነብናቢ	hum, mumble	አ	*ነበነበ		i	9
አነባ	ያነባል	አንብቶ	ያንባ	ማንባት	አንቢ	shed tears	አ	*ነባህ		i	3
አነከሰ	ያነክሳል	አንክሶ	ያንክስ	ማነከስ	አንካሳ	limp	አስ	ሀነከሰ		i	9a
አነኮረ	ያነኩራል	አንኩሮ	ያነኩር	ማነኮር	አንኳሪ	crumble 	ተ	ሀነኮረ		t	9ad
አነገተ	ያነግታል	አንግቶ	ያንግት	ማነገት	አንጋች	sling over shoulder	ተ	ሀነገተ		t	9a
አነጠ						construct		ሀነ፟ጠ	አነ፟ፀ		2a
አነጠሰ	ያነጥሳል	አነጥሶ	ያነጥስ	ማነጠስ	አነጣሽ	sneeze	አስ	ሀነጠሰ		i	9a
አነጠጠ	ያነጥጣል	አንጥጦ	ያንጥጥ	ማንጠጥ	አንጣጭ	mold, make smooth	ተ	ሀነጠጠ		t	9a
አነጠፈ	ያነጥፋል	አንጥፎ	ያንጥፍ	ማነጠፍ	አንጣፊ	spread	ተ	ሀነጠፈ		t	9a
አነጣጠረ	ያነጣጥራል	አነጣጥሮ	ያነጣጥር	ማነጣጠር	አነጣጣሪ	take aim		*ነህጣጠረ			1h
አነጻጸረ	ይነጽራል	ነጽሮ	ይንጸር	መንጸር	ነጻሪ	compare		*ነጸረ			1
አነፀ	ይታነፃል	አንፆ	ያንፅ	ማነፅ	አናፂ	construct	ተ	ሀነ፟ፀ	አነ፟ጠ	t	2a
አነፈነፈ	ያነፈንፋል	አነፍንፎ	ያነፍንፍ	ማነፍነፍ	ነፍናፊ	eat voraciously, smell out	አ	*ነፈነፈ		t	9
አነፈነፈ	ያነፈንፋል	አነፍንፎ	ያነፍንፍ	ማነፍነፍ	ነፍናፊ	smell, sniff	አ	*ነፈነፈ			9
አንቀላፋ	ያንቀላፋል	አንቀላፍቶ	ያንቀላፋ	ማንቀላፋት	አንቀላፊ	doze, fall a sleep	አን	*ቀላህፋህ		i	10i
አንኳኳ	ያንኳኳል	አንኳክቶ	ያንኳኳ	ማንኳኳት	አንኳኪ	knock, clatter	ተን	*ኳህኳህ			3h
አንዣበበ	ያዣብባል	አንዣቦ	ይንዣበብ	ማንዣበብ	አንዣባቢ	hover, soar		*ዠህበበ			1hf
አንጸበረቀ	ይንጸባረቃል	ተንጸባርቆ	ይንጸባረቅ	መንጸባረቅ	ተንጸባራቂ	shine, glitter	ተን	*ጸበረቀ		i	9
አኘከ	ይታኘካል	አኝኮ	ይታኘክ	ማኘክ	አኛኪ	chew, masticate	ተ	ሀኘ፟ከ		t	2a
አከለ	ይታከላል	አክሎ	ይታከል	መታከል	ታካዪ	be equal	አስ	ሀከ፟ለ		i	2a
አከመ	ይታከማል	አክሞ	ይታከም	መታከም	ታካሚ	treat (med.)	ተ	ሀከ፟መ		t	2a
አከከ	ያካል	አክኮ	ይከክ	ማከክ	አካኪ	scratch (itch)	አስ	ሀከከ		t	1af
አካፋ	ያካፋል	አካፍቶ	ያካፋ	ማካፋት	ካፍያ	drizzle	አ	*ካህፋህ		i	3h
አወራ	ያወራል	አውርቶ	ያውራ	ማውራት	አውሪ	talk, describe	አ, ተ	*ወራህ		t	3
አወሳ	ያወሳል	አውስቶ	ያውሳ	ማውሳት	አውሺ	talk, chat	አ, ተ	*ወሳህ		t	3
አወቀ	ያውቃል	አውቆ	ይወቅ	ማወቅ	አዋቂ	know	ተ, አስ, አስተ	ሀወቀ		t	1a
አወከ	ያውካል	አውኮ	ያውክ	ማወክ	አዋኪ	upset, trouble	አስ	ሀወ፟ከ		t	2a
አወደ	ያውዳል	አውዶ	ያውድ	ማወድ		perfume	አስ	ሀወ፟ደ		t	2a
አወጀ	ያውጃል	አውጆ	ያውጅ	ማወጅ	አዋጂ	proclaim	ተ	ሀወ፟ጀ		t	2a
