Word	Part of Speech	Word Forms
+	a.	rbe
+	v.	trbe
+	n.	rbet
kbb	v.	rb
+	v.	hrbb
+	?	+
+	n.	rb-yhd
+	n.	rb-m
+	n.	rbb
+	n.p.	arbbw
rbd.	v.	rbd.
+	n.	mrbd.
+	a.	mhrbd.
rbh_	n.	rbh_
rbh.	v.	hrbh.
+	?	+
+	n.	rbh.
+	+	?rbnh.t(!)
rbq	v.	hrbq
rbw	v.imp.	yrbwn
rda	v.	hrda
+	n.	rda, trda
+	n.p.	arda
+	n.	mrda
rdy	n.	rdy
+	n.p.	rdyt
rd.e	v.	rd.e
rd.h.	v.	rtd.h.
+	v.	rd.h.
rd.w/rd.y	v.imp	yrd.wn
+	v.	hrd.w, hrd.y, hrd.
+	imp.	yhrd.wn, yhrd.yn
+	n.	rd.w, rd.y, rd.wn
+	n.	mrd.
+	a.p.	rdy-m
+	?a./n.	mrd.y-m
rfa	v.	rfa
rfd	v.	rfd
+	n.	rfd
+	n.	rfd
+	p.	rfdt
+	+	+
+	?	+
+	n.	rfd
rfq	n.	rfq
rgl	n.f.	rgl
+	n.p.	rgl
+	n.coll.	rgl
+	n.	rgly
+	a.	rgl-m
rg.m	n.	rg.m
rhn	v.	rhn
+	n.p.	rhn
rht.	n.p.	arht.
rh.b	v.	hrh.b
+	n.	rh.b
+	n.	rh.bt
+	?n./a.	rh.yb-m
rh.d. (1)	v.	rh.d.
rh.d. (2)	n.	mrh.d.-n
rh.l	n.	rh.l
rh.m	v.	rh.m
+	n.	rh.mt
+	a.	mtrh.m-n
rh.q	v.	rh.q
+	a.	rh.q-m
rh.s3	v.	rh.s3
kkb	v.	rkb
+	n.f.p.	rkb
+	n.	rkb
+	p.	rkb, rkbt
rmh.	n.	rmh.
rml	n.	rml
+	?	+
rmy	v.imp.?f.p.	yrmyn
+	a.	rmy-m
rnd	n.	rnd
rq	v.imp.	yrqn
rqd	v.	rqd
+	n.	mrqd
rqy (1)	v.p.	rqyw
*rqy (2)	n.f.p.	rqt
rs1l	n.p.	rs1l
*rs1s1	v.	hrs1
+	v.p.	s1trs1w
rs1t	n.	rs1ty
rs1y	pp.f.p.	rws1y
rs2d	v.	rs2d
+	+	+
+	n.	rs2d
rs2w/rs2y	n.	rs2w
+	p.	ars1w
+	n.	rs2wt
+	p.	rs2wt
+	v.	rs2w
+	v.	rs2w
+	v.	hrs2w
+	n.	rs2y
+	+	+
+	 ?	+
+	n.	rs2y-m
+	n.	rs2yt
+	n.p.	mrs2w-m
rs3e	v.	rs3e
rs.d	v.	rs.d
rt		
rte	v.	rte
+	v.	rte 
+	n.	rtte-m
+	n.	mrte
		
rtb	n.	mrtb
rth.		
rt_d	v.	rt_d, hrt_d
+	v.	rtt_d
+	n.	mrt_d
+	n.	mrt_d
rwd.	n.	mrwd.
rwh. (1)	v.	hrwh.
+	n.	hrwh.t
*rwh. (2)	n.	rh.
rws3	n.p.	mrws3t
rwt/ryt	n.	rwt
+	n.	rt
rwy	v.imp.	yhrwy[n]
+	v.inf.	trwyn
+	n.p.	rwt
+	n.	rwy-m
+	n.	mrw, mryt
ryd	v.	tryd
+	v.	tryd
+	n.	ryd
+	+	+
rym	v.imp.?d.	yrmyn
+	v.p.	rymw
+	v.inf.	rymn
+	v.p.	trymw
+	n.	rym-m
+	n.	rmt
+	?	+
+	n.	mrym
		
rys3	v.	rys3
+	v.imp.	yrys3n
ryt		
rza	v.	rza
+	n.	rza
rzh.	n.	rzh.
rzm	n.	rzm
+	p.	arzm
rzy	v.	hrzy
		
s1	?prep.	s1-mlkn
s1ab	v.	s1tab
s1al	v.	s1al
+	+	+
+	v.	ts1al
+	v.	s1ts1al
+	n.	s1al
+	p.	s1awlt
+	n.	ms1l
s1ar	v.	s1ar
+	n.	s1ar
+	n.	s1art
+	+	+
+	 ?	+
+	+	+
+	n.	s1art
s1ed	v.	s1ed
+	v.	hs1ed
+	n.	s1ed
+	n.	s1edt
s1ed.	?v.	s1ed.?
s1el	n.	s1el
s1em	s1em	
s1es1e	n.	s1ses1e
s1ba	v.	s1ba
+	+	+
+	v.	s1ba
+	v.	s1ba
+	v.	ts1ba
+	pp.p.	s1ba
+	n.	s1bay-n
+	p.	as1ba-n
+	 ?	+
+	n.	s1bat, 
+	p.	s1bat,s1bya, as1bat
+	n.coll.	ts1bat
+	+	ts1ban
+	n.	ms1ba
+	p.	ms1ba
+	+	+
s1be (1)	n.	s1be, s1bet
+	+	+
+	n.	s1be 
+	a.	s1be
s1be (2)	v.	s1be
+	v.	s1be
+	v.	hs1be
+	n.p.	[as1]be
*s1bb (1)	v.	s1b
*s1bb (2)	v.f.	s1bt
s1bh.	+	s1bh.
s1bl	n.	s1blt
s1tbl		
s1bq	n.	s1bq
s1bt.	v.	s1bt.
+	+	+
+	v.	ts1bt.
+	n.	s1bt.
+	?	+
+	n.p.	s1bt.
s1by	v.	s1by
+	n.	s1by-m
+	n.coll.	s1by
+	p.	as1by
s1da	l-ts1da	
s1dl	n.	s1dl
s1dm	n.	s1dm
s1dt_	n.	s1dt_
+	+	+
+	+	+
+	+	+
+	a.	s1dt_
+	+	+
+	+	s1dt_
s1dy	n.	s1dy[-m]
		
s1fh	v.	s1fh
+	+	+
+	+	+
+	+	+
+	+	+
s1fh.	v.	s1fh.
+	+	+
+	n./v.	s1fh.
+	n. 	s1fh.-m
s1fl	n.	s1fl
+	p.	s1flt
+	+	+
+	n.	s1fl
+	+	s1flt
s1fn	n.p.	s1fn
s1fr (1)	n.	s1frt
s1fr (2)	n.coll.	s1frt
s1fr (3)	v.	hs1fr
s1gd	n.	ms1gd
s1hl	n.	s1hl
s1h_m	n.	s1h_m
s1h_n	n.p.	ms1h_n
s1h.t	v.	s1h.t, hs1h.t
+	n.	s1h.t 
s1kb	n.	ms1kb
s1kr	v.	s1kr
+	n.	s1kr
s1la	n.p.	as1le
s1lf	n.	s1lf
+	n.	ms1lf
s1lh_	n.	s1lh_t
s1lh.	v.	s1lh.
+	n.	s1lh.
+	 ?	+
s1lm	v.	s1lm
+	v.	hs1lm
+	v.	s1tlm
+	n.	s1lm
+	+	+
+	n.	s1lm
+	n.	ms1lm
s1lt.	n.coll.	s1lt.
s1m	n.	s1m
+	p.	as1mw
+	v.	s1my
+	imp.	ys1myn
+	p.	ys1mynn
+	inf.	s1my
+	v.	s1my
+	v.imp	ys1tmyn
+	f.	ts1myn
+	p.	ys1tmynn
+	inf.	s1tmyn
s1me	v.	s1me
+	v.	s1me
+	n.	s1me
+	p.	as1me
s1mr	n.	ms1mr
s1mw	v.	s1mw
s1my	n.	s1my-n
s1nd	n.	ms1nd
		
*s1nn	v.	ts1n
+	n.	s1nt
+	n.	s1nt
+	prep.	b-s1n-
+	prep.	s1n 
		
*s1ns3l	n.	s1s3lt
?s1ny?	+	als1nyhmw
s1qa	n./v	s1qa
s1qf	v.	s1qf
+	v.	s1tqf
+	n.	s1qf
+	p.	as1qf
+	n.	ms1qf
+	p.	ms1qft
s1qh	n.	s1qh
s1qt.	n.p.	s1qh
s1qy	v.	s1qy
+	p.	s1qyw
+	imp.	ys1qyn
+	f.	ts1qyn
+	inf.	s1qy
+	v.imp.p.	ys1tqynn
+	n.	s1qy, ms1tqy
+	n.	s1qy
+	n.	ms1qy, ms1qt
+	p.	ms1qyt
+	n.	s1tqy-m
+	a.	s1qy
s1rq	v.	s1rq
+	v.	s1rq
s1rr (1)	v.	s1r 
+	p.	as1rr
s1rr (2)	n.	s1rwr
s1rw	n.	s1rwyt
s1t 	n.	s1t
s1tbl		
s1tl	n.	ms1tl
s1ty	n.	ms1ty
s1t.r	v.	s1t.r
+	v.	hs1t.r
+	n.	s1t.r
+	p.	as1t.r
+	+	+
+	n.	s1t.r
+	p.	as1t.r
+	n.	s1t.r
s1t.w	v.	hs1t.w
s1wa	n.	s1wa
s1wd	n.d.	as1wdy-
+	p.	s1wd
s1wn	prep.	s1wn
		
s1wr	v.	hs1r
+	n.	ms1rt
+	?	+
+	n.p.	ms1wrt
s1yb (1)	v./n.	s1yb-
s1yb (2)	n.	s1yb 
s1yb (3)	n.	s1yb
*s1yl	n.	ms1lt
s1yr	n.	s1yr
+	?	+
s1rr	n.	ms1rt
s1yt.	n.p.	as1yt.
		
s2am (1)	v.	s2am
+	+	+
+	v.	hs2am
+	n.s.& p.	s2amt
+	n.	mhs2am
s2am (2)	n.	s2am
+	v.	s2am
+	n./a.	s2amyt
+	n./a.	s2myt
+	n.	s2am-m
s2aml	v.	hs2aml
s2ab	n.	s2ab
+	p.	as2eb, s2eb
+	+	+
s2em	v.	s2tem
s2er (1)	v.	s2er
+	imp.f.	ts2r(!)
+	n.	s2er
s2er (2)	n.	s2er
s2ew	v.p.	ts2eww
+	n.	ts2et
s2ey		
s2be	v.	hs2be
+	n.	s2bem
s2dw	n.	s2dw
+	 ?	+
+	n.	s2dw
s2fe	n.	s2fe
s2fq	n.	hs2fq
+	n.	s2fq-m
+	a.	mhs2fq-m
s2fr	n.	s2fr
s2ft	v.	s2ft
+	n.	s2ft
+	+	+
+	n.	ts2ft-n
s2g.l		
s2h	n.d.	s2hn
+	+	+
s2hd	n.	s2hd
+	n.	s2hd
s2hr	v.	hs2hr
+	n.	s2hr
+	n.	s2hr-m
+	n.	s2hr
s2h.k	n.	ms2h.k
s2h.t.	n.	s2wh.t.t
+	p.	s2wh.t.
s2kr	v.	s2kr
+	+	+
+	v.	s2tkr
+	v.	ts2kr
+	n.	s2kr
+	 ?	+
s2lt_	n.	s2lt_, s2lt_t
+	+	+
+	+	2lty
+	n.	s2lt_ 
+	+	+
		
s2lw	n.	s2lw-n
s2ms1	n.f.	s2ms1-n
+	n.f.	s2ms1 
+	p.	as2ms1
+	n.	s2ms1
s2mt	n.	s2mt
s2na	n.	s2na
+	p.	as2na
s2nf	n.	s2nf
s2nm	v.	s2nm
s2nn	n.	s2nn
s2nq	n.	s2nq
+	n.	s2nqt
s2qr	v.	s2qr, hs2qr
+	n.	s2qr, ts2qr
s2re	v.	s2re
+	+	+
+	+	+
+	n.p.	s2re
+	n.p.	s2ret
+	n.	s2re
+	n.	ms2re
s2rg	n.p.	s2rg
s2rh.	v.	s2rh
+	+	+
+	v.	s2trh.
+	+	+
+	+	+
+	n.	s2rh.t
+	+	+
s2rk	v.	s2rk
+	n.	s2rk
+	n.	s2rk
s2rm	n.	as2rm[t]-n
s2rq	v.	s2rq
+	n.	s2rq
+	n.	ms2rq, ms2rqyt
+	p.	ms2rqt
+	a.	ms2rqy
+	n.p.	ms2rq
s2rs1	n.	s2rs1
+	v.	hs2rs1
s2ry (1)	v.	s2ry
+	v.inf.	hs2ryn
+	v.p.	ts2ryw
s2ry (2)	v.imp.p.	w(l/-)ys2trynn
s2s.n	v.	s2s.n
+	n.p.	as2s.n
s2s.s.	a.	s2s.s.
s2s.y	v.imp	ys2s.yn
+	p.	ys2s.ynn
+	v.imp.p.	ys2s.ynn
+	n.	s2s.y
s2ta	v.	s2ta
+	+	+
+	+	+
+	v.	s2ta
+	v.	s2ta
+	n.	s2ta
s2tr	v.	s2tr 
s2we	v.	s2we, 
+	d.	s2wey
+	p.	s2wew
+	imp.p.	ys2wenn
+	n.	s2we
+	p./coll.	s2we
+	n.	s2et
+	n.	s2et
s1wb	n.	s2wb-n
s2wf	v.inf.	s2f
+	v.	s2wf, s2f
+	v.inf.	s2wfn
+	n.	s2wft
s2ye	n.	s2ye
s2yh.	n.	s2yh.
+	a.	as2yh.
s2ym	v.	s2ym, s2m,
+	d.	s2my 
+	d.f.	s2mty
+	p.	s2mw
+	imp.	ys2mn
+	+	+
+	v.	ts2ym
+	n.	s2ym 
+	n.	ms2m
+	p.	ms2ym
s2yn	v.	s2yn
+	n.	ts2yn
+	p.	ts2ynt
s2zb	n.	s2zb
+	p.	as2zb
s2z.y	n.	s2z.y
		
s3ad	n.	s3ad
	s3e, s3et	
s3ee	?v.	s3e
+	v.inf.	hs3ee
s3el	n.p.	s3welt-n
s3bb	v.imp.p.	yts3bbnn
+	inf.	ts3bbn
s3dn	n.	s3dn
s3dq	n.p.	as3dq
s3gd	v.	s3gd
s3h_l	v.	s3h_l
+	+	+
+	n.?p.?	s3h_lt
+	a.	s3h_l
s2h.b	v.	s3h.b
s3h.m		
s3h.r	n.	s3h.r
s3la	v.	s3la
+	n.	s3la
+	n.	s3la-n
s3le	v.	s3le
s3lb	v.	s3lb
s3lf	n.p.	ms3lf
s3ll	v.p.	s3llw
+	v.inf.	hs3ln
+	n.	s3ll 
s3md	v.& n.	s3mdn/s3mdtn
s3mk	v.	s3mk
s3nd	v.	s3nd
+	n.	ms3nd
s3nn	v.	al/s3n
+	p.	al/s3nw
+	v.	hs3nn
+	n.	s3n 
+	n.p.	ts3nnt
+	prep.	s3n
		
s3ny	v.p.	s3nyw
s3qt		
s3rt	n.	s3rt
s3we (1)	v.inf.	s3we
+	n.	s3we-n
*s3we (2)	n.	s3et
+	n.	s3et
s3wb	v.imp.	ys3wbn
s3wd	n.	ms3wd
+	p.	ms3wdt
+	n.coll.	ms3wd
+	n.p.	ms3wdt
s3wwdt		
ws3d		
s3wk	v.	s3wk
+	f.pass.	s3wkt
s3wr	pp.	s3wr
+	n.	ms3wr
+	n.p.	as3wr
s3yf	v.	s3yf
s3yq	n.	s3tq
		
s.ed	v.	s.ed
s.et		
s.ba	v.	s.ba
s.be	n.	as.be
+	p.	as.be
s.bb	a.	s.bb
+	?	+
s.bh.	n.	s.bh.-n
+	+	+
+	v.	s.bh. 
+	n.	ms.bh.
s.bn	v.	s.bn
s.bs1	n.	s.bs1
s.by (1)	n.coll.	s.by
s.by (2)	n.	s.by
s.de	n.	ms.da
s.dg.	n.	s.dg.
s.dq	v.	sdq, hs.dq
+	+	+
+	n.	s.dq
+	n.	ms.dq
+	p.	ms.dqt
*s.ff	n.p.	
s.g.r	a.	s.g.r
+	n.	s.g.r
+	n.p.	as.g.rt
+	n.	s.g.rt
s.hr	n.	s.hr
+	+	+
+	+	+
+	n.	s.hr
s.h.b	v.	s.h.b
+	n.p.	as.h.b
s.h.f	v.	s.h.f
+	n.	s.h.ft
s.h.h.	v.imp.	ys.h.
+	v.inf.	hs.h.h.n
+	n.	s.h., s.h.h.
+	a.	s.h.h.
+	+	+
?*s.h.w?		
s.la	v.	ts.la
+	n.	ts.la
s.lh.	v.	s.lh.
+	n.	s.lh.
+	v.	hs.lh.
+	n.	s.lh.t
+	a.	s.lh.
s.ll	v.	s.ll
+	p.	s.llw
+	 ?	+
+	n.	s.ll
+	 ?	+
+	n.	s.lt
+	 ?	+
+	n.	s.lt
*s.lw (1), ws.l, z.ll		
s.lm	n.	s.lm
+	p.	as.lm
+	dimin.	s.lym
+	n.f.	s.lmt
+	p.	s.lmt
z.lm (2)		
*s.lw (2)	n.	s.lt
+	+	+
s.lw (2)	n.	s.lwt
+	n.	s.lwt
+	n.p.	s.lw 
s.ll		
s.ly	n.	s.ly-n
s.lyfe	n.	s.lyfe
s.ma	n.	s.ma
*s.mm		
s.ne	v.	s.na
+	+	+
+	 ?	+
+	?v./n	s.ne
+	v.	hs.ne
+	v.	ts.ne
+	n.p.	as.ne
+	n.	ms.net
+	p.	ms.ne 
+	+	+
s.nq	n.	s.nq
+	n.p.	s.nwq
+	n.	s.nq-n
+	n.	s.nq
s.ql	+	s.ql
+	leg.	s1ft
s.re	n.d.	ms.rey
+	p.	ms.re 
+	+	+
s.rb	n.	s.rb
+	+	+
+	n.	s.rbt
+	 ?	+
+	n.	ms.rb
s.rf (1)	n.	s.rf 
+	+	+
+	 ?	+
s.rf (2)	n.	s.rf 
s.rh_	v.	s.rh_
+	v.pass.impers.	s.rh_
+	+	+
s.rh.	n.	s.rh.
+	n.	s.rh.t
+	p.	s.rh.t
+	+	+
+	 ?	+
s.rm	v.	s.rm
*s.rr	v.	hs.r
+	n.	ms.r-n
s.rw	v.	s.rw
		
s.ry (1)	v.	s.ry
+	imp.	ys.ry-
+	inf.	s.ry
+	+	+
+	+	+
+	v.	hs.ry
+	d.	hs.ryy
+	v.p.	ts.ryw
+	v.imp.d.	ys.trynn
+	inf.	s.trn
+	inf.	ts.ryn
+	n.	s.ryt
+	?p.	s.ry
s.ry (2)	v.imp.p.	ys.rynn
+	inf.	s.ryn
		
s.we (1)	n.	s.we-m
*s.we (2)	n.	s.et
+	 ?	+
s.wb	n.p.	swbt
s.wf	n.	s.wf
s.wr (1)	n.	s.wr
s.wr (2)	n.p.	s.wrt
+	 ?	+
s.wr (3)	v.	s.wr
+	v.inf.	hs.r
		
s.wy	v.imp.p.	ys.wynn
s.yd	v. 	s.d, s.yd
+	p.	s.ydw
+	imp.	ys.dn
+	n.	s.yd, s.d
+	n.coll.	s.yd
+	n.	s.ydn-n
s.yh.	v.	s.yh.
+	p.	s.yh.{w}
+	inf.	s.yh.
+	n.	ms.yh.-m
s.yr	v.	s.yr
+	v.	hs.r
+	p.	hs.rw
+	imp.	yhs.r, yhs.rn
+	d.	yhs.ry
+	p.	yhs.rw
+	n.	ms.r
+	p.	ms.yrt
s.yt	n.	s.yt
*s.yw	v.imp.	ys1ts.yn
		
t-	pron.rel.	t-
taw	v.	taw
tem	n.d.	temtn
tbe	n.	tbet
+	?pp.	mtbe-m
tft_	n.	tft_
thm	n.	b-thm-m
th.t	prep.	th.t, bth.t
+	n.	th.ty-n
tld	n.	tld-m
+	n.p.	atld
tlf	v.	tlf
+	v.	htlf
+	n.	tlft
tlw	v.aux.imp.	ytlwn
+	inf.	tlwn
+	v.imp.	ytlwn
+	?	+
+	v.imp.p.	ytlwnn
+	v.imp.	d_-ytlwn-
+	n.	tly
+	p.	atlwt
+	n.	tlt
tmr	n.coll.	tmr
trf	v.	trf
trh_	v.	htrh_
trh.	n.	trh.
+	?	+
+	?	+
+	?	+
ts1e	n.	ts1e, ts1et
+	ts1ey	+
+	a.	ts1e 
*twl	n.	tl-
twrt	n.p.	twrt
		
t_ar	v.	t_ar 
+	n.	t_ar 
t_ed	v.	t_ted
+	v./n.	t_ed
+	n.	t_ed, t_edt
+	n.p.	mt_ed
t_ey	n.	tt_yet
t_br	v.	t_br
+	v.	ht_br
+	n.	mt_br, mt_brt
t_bt	n.	t_bt
+	n.?p.?	at_bt
t_fa	n.	mht_fa-m
t_fd	v.	t_fd
t_fl	v.	t_fl
t_ft.	n.	t_ft.
t_hb	v.	t_hb
t_kh.	n.	mt_kh.
t_km	n.	t_kmt
+	n.coll.	t_kmt
t_le	v.	ht_le
t_ll	v.	t_ll
t_lt	n.	t_lt_, t_lt_t
+	+	+
+	+	t_lt_y, t_lt_-nhn
+	a.	t_lt_ third
+	n.	t_lt_ 
+	+	+
		
t_mn	n.	t_mny, t_mnyt, t_mn, t_mnt
+	+	t_mny 
+	n.	t_mn
t_mr	v.	t_mr
+	v.	ht_mr
+	v.	tt_mr
+	v.	tt_mr
+	n.coll.	t_mr
+	p.	at_mr
+	a.	t_mr
t_ny (1)	n.	t_ny
+	f.	t_nty
+	a.	t_ny
+	f.	t_nt 
+	t_nyt	+
+	v.	ht_ny
t_ny (2)	n.coll.	t_n-
t_qf	v.	ht_qf
+	v.	s1tt_qf
t_qr	v.	t_qr
t_rm	n.p.	at_rm
t_ry	n.p.	at_ry
+	+	+
t_w	prep./conj.	t_w
t_wb	v.p.	t_wb-
+	inf.	t_wbn
+	+	+
+	v.imp.	yt_mbn, yt_bn
+	inf.	t_wbn
+	v.	ht_b
+	p.	ht_bw
+	imp.	yht_b
+	inf.	ht_bn
+	inf.	ht_bn
+	+	+
+	+	+
+	v.inf.	s1tt_wbn
+	n.	t_wb
+	n.p.	at_wb
+	n.	mt_bt
+	+	+
+	+	+
+	n.	tt_wb
t_wr	n.	t_wr, t_r
+	p.	at_wr
+	n.	t_wr 
t_yl	n.	t_yl
		
t.em	v.	t.em
t.bb	v.inf.	t.bb
+	n.d.	t.by
+	n.	t.bt
t.bh_	n.	t.bh_
t.bn	v.	t.bn
+	n.p.	t.bnt
t.by	n.	t.byt
t.f	n.	t.f-n
t.hr	a.f.	t.hr
t.h.n	n.	t.h.n
t.lf	n.	t.lf
t.lw	v./n.	t.lw
t.ly (1)	n.d.	t.lyn
t.ly (2)	n.p.	at.ly
t.me	n.	t.me
+	v.	ht.me
t.mh.	a.	t.mh.
+	n.	t.mh.ny-n
t.nf	n.	t.nf
+	?	+
t.ny	v.	t.ny
t.rd	v.	t.rd
+	n.p.	t.ryd
+	n.	mt.rd
+	?	+
+	?	+
+	n.	mt.rd
+	p.	mt.rdt
t.we	v.	ht.e
+	v.inf.	tt.en
+	v.p.	s1tt.ew
+	n.	t.we
t.wl	v.imp.	yht.ln
+	n.	t.l-m
+	n.	mt.wl
+	p.	mt.wlt
t.wr		
*t.wy	n.	t.yt
t_yb	v.	t.b-
+	v.p.	ht.bw
+	n./a.	t.yb
+	+	+
		
w	partic.	w-
+		w-... w-... w-...
+	+	+
+	+	+
+	+	+
web	v.	web
+	v.p.	hwebw
+	inf.	hwebn
+	n.	web
wed	v.	wed
+	v.	hwed
+	n.	mwed
+	n.	med
+	+	+
+	n.	medt
wel	n.	wel
+	p.	awel
wez.	n.	wez.-m
+	n.	ez.t
wbd	v.imp	ywbd
*wbl (1)	v.imp.	ybln
+	n./v.	wbl-
wbl (2)	v.	s1tbl
+	n.	hwblt
*wde	n.	det
wdd	v.p.	s1twddw
+	imp.	ys1twddn
+	inf.	s1twddn
+	n.	mwd
wdn	v.	wdn
+	v.imp.p.	yhdnw
+	v.	s1twdn
wdq	v.	wdq
+	+	+
+	n.	wdqt 
+	n.	wdqt-m
wdt_	v.f.	wdt_t
wdw/wdy	v.	wdy
+	v.	wdy
+	v.imp.p.	ydynn
+	n.	wdy-n
+	p.	awdyt
wd_a		
wd.a	v.	wd.a
+	imp.	yd.an
+	f.	td.an
+	+	+
+	+	+
+	+	+
+	v.imp.	ywd.an
+	v.p.	hwd.aw
+	?	+
+	imp.	yhwd.an
+	+	+
+	inf.	hwd.an
+	v.inf.	td.an
+	v.	s1twd.a
+	imp.	ys1td.an
+	pp.	wd.a-m
+	n.	hwd.a-m
+	n.	mwd.a
wd.e	v.	wd.e
+	imp.	yd.e
+	v.imp.	yd.en
+	v.p.	wd.ew
+	v.inf.	hwd.e
td.en		
+	?n.p.	wd.et
+	?a.	wd.en
wd.n	n.	mwd.n
wfa	v.	hwfa
+	n.	mwfa
wfd	v.	wfd
+	v.imp.	yfd
		
+	v.imp.	yfd_n
+	v.imp.	yhwfd
+	n.	tfd
wfr (1)	v.	hwfr
+	imp.p.	l-hwfrnn
+	v.inf.	tfr
		
+	n.	mwfrt
wfr (2)	v.d.	tfry
+	imp.d.	ytfrnn
+	inf.	tfrn
+	n.	mwfr 
wft.	v.	wft.
+	n.	mwft.
wfy	v.p.	wfyw
+	imp.	yfy-
+	inf.	wfyn
+	v.pass.f.	wfyt
+	imp.f.	twfyn
+	v.hwfy, hfy	
+	p.	hwfyw
+	imp.	yhwfyn
+	inf.	hwfyn, hfyn
+	v.p.	twfyw
+	inf.	twfyn
+	v.	s1twfy
+	f.	s1twfyt
+	d.	s1twfyy
+	imp.p.	ys1twfynn
+	inf.	s1wfyn
+	n.	wfy
wgl	n.	mwgl
wgr (1)	v.	wgr
wgr (2)	v.imp.	yw(g)rn
whb	v.	whb
+	imp.	yhb
+	v.imp.p.	ythbnn
+	n.	hbt
+	n.p.	mwhbt
whr		twhr
wht	n.p.	mwht
+	?	+
wh_r	v.inf.	wh_r
wh.b	v.p.	hwh.bw
+	imp.	yhwh.bn
+	v.	s1twh.b
wh.d	n.	k-wh.d
wkb	v.	wkb
+	+	+
+	+	+
+	+	+
+	?	+
+	v.	hwkb
+	imp.p.	yhwkbnn
+	inf.	hwkbn
+	v.imp.	yhwkbn 
+	v.inf.	s1wkbn
+	n.	wkb
+	n.	mykbt
+	n.	mhwkb
kbt		
wkh.	n.	wkh.y-m
wkl	v.	wkl
+	v.	twkl
+	+	+
+	n.	hwklt
+	p.	hwkl 
+	n.	mwkl
wkn	v.inf.	hwknn
wky (1)	v.p.	hwkyw
wky (2)	n.	wky-m
wld	v.	wld
+	f.	wldt
+	imp.	yldn
+	f.	tldn
+	inf.	wld
+	v.	hwld
+	imp.	yhwldn
+	inf.	hwld[n]
+	n.	wld
+	p.	awld, alwd
+	+	+
+	n.coll.	wld
+	+	+
+	n.	mwld
		
wly	n.coll.	wlyt
wqf	v.	wqf
+	n.	tqfn
+	n.	wqf
wqh	v.	wqh
+	f.	yqht
+	imp.	yqhn
+	n. 	qh, qht
+	n.	qh 
+	v.p.	tqhw
+	v.	tqh 
+	p.	tqhw
+	n.	tqh
wql	v.p.	hwqlw
wqm	v.p.	wqmw
+	inf.	wqm 
wqn	n.	mwqnt
+	+	+
+	n.	mwqnt
+	?	+
wqr	n.	wqr
+	n.p.	mwqrt
wre	v.	hwre
+	p.	hwrew
*wrb	n.	mrb
wrd	v.	wrd
+	imp.	yrdn
+	+	+
+	p.	yrdnn
+	inf.	wrd
+	v.	hwrd
+	v.p.	twrdw
+	v.inf.	trdn
+	n	wrd
+	n.d.	wrd-nhn
wrh_	n.	wrh_
+	p.	awrh_
wrk	n.f.	wrk
wrq	n.	wrq
+	n.	wrq
+	+	+
+	n.	wrq
wrt_	v.	hwrt_
+	v.d.	twrt_y
+	n.f.	wrt_t
+	m.p.	
wrw	v.p.	wrww
+	n.	wrwtn
wry		
ws1e	v.imp.	yws1en
+	v.p.	ws1ew
ws1m	n.	s1mt
+	+	+
*ws1n	n.	s1nt
ws1t	n.	ws1t., mws1t.
+	+	b-ws1t.
ws1y	v.p.	hws1yw
+	v.p.	tws1yw
+	n.	s1yt
ws2e	v.	hws2e
+	inf.	hws2en
+	v.	s1tws2e
+	+	+
+	n.	ws2en
ws3e	v.	ws3e
+	v.	ws3e
+	 ?	+
+	 ?	+
+	v.	hws3e
+	v.p.	tws3ew
+	inf.	tws3e 
+	+	+
+	n.	ts3e-n
		
*ws3d	n.	ms3d
ws3f	v.	ws3f
+	imp.	ys3f
+	inf.	ws3f
+	?n.	ws3f
ws3l	v.imp.p.	yhs3lnn
+	n.	mws3lt
ws3q	v.inf.	hws3qn
+	n.	s3qt
+	v.imp. 	ys3q
+	inf.	ws3q
+	n./v.	ws3q
+	n.	ws3qt
ws3y	v.	ws3y
ws.e	v.f.	tws.et
ws.h.	v.	ws.h.
ws.l	v.	hws.l
+	p.	hws.lw
+	imp.p.	yhws.lnn
+	inf.	hws.ln
+	+	+
+	+	+
+	n.	s.lt
+	n.	s.lt
		
*ws.m	v.imp.	ys.mn
ws.t	v. 	hws.t
+	imp.	yhws.tn
+	+	+
+	+	+
+	n.	mws.t, ms.t
+	p.	mws.tt
+	+	+
wtd_	n.	mwtd_
wtf	v.	wtf
+	n.	wtf
wtm	v.	hwtm
wtn	a.	whwtn-m
+	+	wtnw
wtw	v.p.	hwtw-
wt_b (1)	v.imp.p.	yt_bnn
+	inf.	wt_b
+	imp.	yt_bn 
+	v./n.	hwt_b
+	n.	hwt_bt
+	n.	t_bt
+	n.	mwt_b
+	n.coll.	mwt_bt
+	n.	twt_b
wt_b (2)	v.	twt_b
+	inf.	tt_bn
wt_m	v.	twt_m
+	n.	wt_mt
wt_n	v.	wt_n, twt_n
+	n.	wt_n 
+	p.	awt_n
+	n.	twt_n
+	n.	myt_n
wt_q	v.	wt_q
+	v.	hwt_q
+	imp.	yhwt_qn
+	v.inf.	s1twt_q
+	n.p.	awt_q
wt_r	v.	wt_r
+	imp.p.	yt)rw
+	+	+
+	v.	hwt_r
+	n.p.	awt_r
+	n.	mt_r
+	n.	t_rt
wt.f	?n.	wt.ft
wt.n	n.	mwt.n
+	+	+
+	+	+
+	n.	mwt.n
wyn	n.	wyn, yyn
+	p.	awyn
