Word	Part of Speech	Word Forms
hrg	v.	hrg
+	v.	thrg
+	n.	hrg-m
+	p.	mhrgt
hrk	n.	mhrk
hrm	n.	hrm
+	p.	ahrm
hrr		
hrs1		
hry	v.f.	hryt
+	n.	hry 
hwn	v.inf.	hwn
hwnt		
hwr (1)	v.d.	hwry
+	p.	(h)wrw
hwr (2)	n.	hwr 
+	d.	hwry
+	?	+
+	n	hwrt
+	?	+
hye	v.	hye, he
+	imp.	yhen
+	f.	then
+	inf.	hye, he
+	+	+
+	?	+
+	?	+
+	n.	mhye
+	p.	mhyet
+	+	+
+	?	+
+	n.	mha
*hyg	n.	hg-m
hykl	n.p	hyklt
hyl	n.	hyl
hyn	v.inf.	hyn
hyr	n.	hrt
+	n.	hyrt-n
		
h_ba	v.	h_ba
h_bb	n.p.	ah_bb
+	n.p.	ah_bb
h_bl	n.	h_bl
h_bn		
h_bt.	v.	h_bt.
+	v.	h_bt.
+	n.	h_bt.n
+	?a.	h_bt.n
h_de	v.	h_de
+	n.	h_de
+	n.	mh_de
+	a.	h_de
h_dg	v.	h_dg
+	+	+
+	n.	h_dg
h_dl		
h_dm	n.f.	h_dmt
+	v.	h_tdm
+	+	+
h_dr	n.	h_dr, m(h_)dr
+	n.	mh_dr
+	v.	h_dr 
+	?	+
h_d.f	v.	hh_d.f
h_d.n		
h_fd	n.	h_fd
