# Amharic Name	FULL_NAME	FULL_NAME_ND
ገዳም አይምሮ መድሃኒ አለም ቤተ ክርስቲያን	Gedam Ā‘imro Medhanē ‘Alem Bēte Kristīyan	Gedam A`imro Medhane `Alem Bete Kristiyan
	Gedamayt Rebu‘i Gebeya	Gedamayt Rebu`i Gebeya
ሮብገበያ	Ruobgebaia	Ruobgebaia
ገዳ ሚካኤል ቤተ ክርስቲያን	Geda Mīka’ēl Bēte Kristīyan	Geda Mika'el Bete Kristiyan
ገዳም ንቃ የተራራ ጫፍ	Gedam Nek’a YeTerara Ch’af	Gedam Nek'a YeTerara Ch'af
	Gedanba	Gedanba
	Gadano	Gadano
	Gedano	Gedano
	Gedara	Gedara
ገደብ	Gedeb	Gedeb
	Guanta	Guanta
	Gedeb	Gedeb
	Gedeb	Gedeb
ገደብ (2)	Gedeb (2)	Gedeb (2)
	Gedeb	Gedeb
ገደብ (1)	Gedeb (1)	Gedeb (1)
	Gedeb	Gedeb
	Gedeba	Gedeba
	Gedeb Bota	Gedeb Bota
	Gedeb Bota	Gedeb Bota
ገደብጌ	Gedebgē	Gedebge
	Gedebgi	Gedebgi
	Gerebgē	Gerebge
	Gedel Negedu	Gedel Negedu
ገደሎ ተክለ ሃይማኖት ቤተ ክርስቲያን	Gedelo Tekle Haymanot Bēte Kristīyan	Gedelo Tekle Haymanot Bete Kristiyan
	Egralta	Egralta
	Monte Egralta	Monte Egralta
ገደሉ ተራራ	Ged’ēlu Terara	Ged'elu Terara
	Gedemso	Gedemso
	Gedemso Shet’	Gedemso Shet'
ደራሳ	Derasa	Derasa
	Derassa	Derassa
ገዲኦ አውራጃ	Gede’o Āwraja	Gede'o Awraja
	Geder	Geder
ገደራ	Gedera	Gedera
	Gedera Shet’	Gedera Shet'
	Gedera Shet’	Gedera Shet'
ገደራ ተራራ	Gedera Terara	Gedera Terara
	Sacatte	Sacatte
	Monte Sacattè	Monte Sacatte
	Gedero	Gedero
	Gedero Mīka’ēl Bēte Kristīyan	Gedero Mika'el Bete Kristiyan
	Gedē	Gede
	Gedē Shet’	Gede Shet'
	Gedeta	Gedeta
	Gēdēysa Shet’	Gedeysa Shet'
	Gargio	Gargio
	Gedī Ādīs	Gedi Adis
	Gedībē	Gedibe
	Gheddiben	Gheddiben
	Gedīda	Gedida
	Gēdīra Korebta	Gedira Korebta
	Gēdīr Korebta	Gedir Korebta
	Gēdīra Shet’	Gedira Shet'
	Lak Ghedira	Lak Ghedira
	Gedī Shet’	Gedi Shet'
	Gedlegubē	Gedlegube
	Gerlogubi	Gerlogubi
	Gherlogubi	Gherlogubi
	Gedlegubē Bota	Gedlegube Bota
	Gedleh Ādin	Gedleh Adin
ጌዶ	Gēdo	Gedo
	Gēdo	Gedo
	Ghedo	Ghedo
	Gedoyē	Gedoye
	Uin	Uin
	Gedre Hader	Gedre Hader
	Gedro	Gedro
	Gheddera	Gheddera
ገፈርሳ	Gefersa	Gefersa
ገፈርሳ ሐይቅ	Gefersa Hāyk’	Gefersa Hayk'
	Gefersa	Gefersa
	Gefersa Shet’	Gefersa Shet'
ገፈት አምባ አቦ ቤተ ክርስቲያን	Gefet Āmba Ābo Bēte Kristīyan	Gefet Amba Abo Bete Kristiyan
ገፈራ	Gefra	Gefra
	Gefra Gelana Shet’	Gefra Gelana Shet'
	Gefra-Gelana-Shet	Gefra-Gelana-Shet
	Gefra Guda	Gefra Guda
	Gefra Shet’	Gefra Shet'
	Gefre Shet’	Gefre Shet'
	Gofra	Gofra
	Gefra Shet’	Gefra Shet'
	Gefro-Shet	Gefro-Shet
	Ad Gaherto	Ad Gaherto
	Gefu Hāyk’	Gefu Hayk'
	Gefulī Shet’	Gefuli Shet'
	Gefunalī Shet’	Gefunali Shet'
	Gēga Bota	Gega Bota
	Gēga Mēda	Gega Meda
	Gēga Shet’	Gega Shet'
	Gege’as Mēda	Gege'as Meda
	Dergaha	Dergaha
	Gegeya Shet’	Gegeya Shet'
	Gego Īnsa Shet’	Gego Insa Shet'
	Gehar Mēda	Gehar Meda
	Gehar Shet’	Gehar Shet'
ጌጃ	Gēja	Geja
ጌጃ ባለ እግዚአብሔር ቤተ ክርስቲያን	Gēja Be‘ale Igzī’ābhēr Bēte Kristīyan	Geja Be`ale Igzi'abher Bete Kristiyan
	Geja Dēra	Geja Dera
ጌጃ ጊዮርጊስ ቤተ ክርስቲያን	Gēja Gīyorgīs Bēte Kristīyan	Geja Giyorgis Bete Kristiyan
	Gejet Wenz	Gejet Wenz
	Gejo Ch’ach’a Bota	Gejo Ch'ach'a Bota
	Gēla	Gela
	Galadi	Galadi
	Galladi	Galladi
ገላዲ	Geladī	Geladi
ገላቻ	Gelalcha	Gelalcha
	Golaschi	Golaschi
	Golaski	Golaski
	Gelalcha Shet’	Gelalcha Shet'
	Igia Galalcia	Igia Galalcia
ገላን	Gelan	Gelan
ገላና	Gelana	Gelana
	Donu	Donu
	Doou	Doou
	Galana	Galana
	Gelana Shet’	Gelana Shet'
	Galana	Galana
	Gelana Shet’	Gelana Shet'
	Gelana Shet’	Gelana Shet'
	Gelana Shet’	Gelana Shet'
	Gelan Bota	Gelan Bota
ገላን ሚካኤል ቤተ ክርስቲያን	Gelan Mīka’ēl Bēte Kristīyan	Gelan Mika'el Bete Kristiyan
	Gelan Sedī Shelek’o	Gelan Sedi Shelek'o
	Gelan Sedī Shet’	Gelan Sedi Shet'
	Gela Shet’	Gela Shet'
	Ullul	Ullul
ገላውዲዮስ	Gelawdīwos	Gelawdiwos
	Gelawd Maryam Bēte Kristīyan	Gelawd Maryam Bete Kristiyan
	Gela Wedēsa	Gela Wedesa
	Gēlbob	Gelbob
	Gel’bobo	Gel'bobo
	Gelde’ā Shet’	Gelde'a Shet'
	Galba	Galba
	Gelde’ā Shet’	Gelde'a Shet'
ገለዲ	Geldi	Geldi
	Pianura di Geldi	Pianura di Geldi
	Geldīd	Geldid
	Geldīd Maryam Bēte Kristīyan	Geldid Maryam Bete Kristiyan
	Gelē	Gele
	Gele’ābē Mēda	Gele'abe Meda
	Gelebē	Gelebe
	Uogghidi	Uogghidi
	Uoghidi	Uoghidi
	Uogiddi	Uogiddi
	Gelebeda	Gelebeda
	Gelebeda (1)	Gelebeda (1)
	Gelebeda	Gelebeda
	Gelebeda (2)	Gelebeda (2)
	Ad Ghelebeda	Ad Ghelebeda
	Ad Ghelebedd	Ad Ghelebedd
	Gelebeda	Gelebeda
	Gelebeda Gīyorgīs Bēte Kristīyan	Gelebeda Giyorgis Bete Kristiyan
	Gelebeda Īyesus Bēte Kristīyan	Gelebeda Iyesus Bete Kristiyan
	Geleblu Derek’ Hāyk’	Geleblu Derek' Hayk'
ገለብ	Galeb	Galeb
	Geleb	Geleb
ገለብና ሀመር ባኮ	Geleb and Hamer Baco	Geleb and Hamer Baco
	Geleb and Hamerbako	Geleb and Hamerbako
ገለብና ሀመር ባኮ አውራጃ	Geleb na Hāmer Bako Āwraja	Geleb na Hamer Bako Awraja
	Gheleba	Gheleba
	Geleha Shet’	Geleha Shet'
	Gele‘ītolī Shet’	Gele`itoli Shet'
	Gelēl Wenz	Gelel Wenz
	Galamso	Galamso
ገለምሶ	Gelemso	Gelemso
	Ghelemsò	Ghelemso
ገለምሶ መድሃኒ አለም ቤተ ክርስቲያን	Gelemso Medhanē ‘Alem Bēte Kristīyan	Gelemso Medhane `Alem Bete Kristiyan
	Annam	Annam
	Gelemso Shet’	Gelemso Shet'
	Gelengo Bota	Gelengo Bota
	Gelew Bota	Gelew Bota
	Gelewī	Gelewi
	Gaiel	Gaiel
	Geiol	Geiol
	Gelewī Bota	Gelewi Bota
	Gheiol	Gheiol
	Gelewī Shet’	Gelewi Shet'
	Gelgela Mīka’ēl Bēte Kristīyan	Gelgela Mika'el Bete Kristiyan
	Gelgel	Gelgel
	Gelgel Shet’	Gelgel Shet'
	Gelhalali	Gelhalali
	Geli	Geli
	Gheli	Gheli
	Dzheli	Dzheli
	Gelīla	Gelila
ገሊላ	Gelīla	Gelila
	Isola Celila	Isola Celila
	Isola Chelila	Isola Chelila
	Galīla	Galila
	Galilee	Galilee
ገሊላ ደሴት	Gelīla Desēt	Gelila Deset
	Ghelila	Ghelila
ገሊላ ጊዮርጊስ ቤተ ክርስቲያን	Gelīla Gīyorgīs Bēte Kristīyan	Gelila Giyorgis Bete Kristiyan
ገሊላ ማርያም ቤተ ክርስቲያን	Gelīla Maryam Bēte Kristīyan	Gelila Maryam Bete Kristiyan
	Gello	Gello
	Gelma	Gelma
	Gelma Shet’	Gelma Shet'
	Gelmo Āger	Gelmo Ager
	Galmoi	Galmoi
	Galmoia	Galmoia
	Gelmoi	Gelmoi
	Jelmoy	Jelmoy
	Dzhel’moy	Dzhel'moy
	Gelo Bota	Gelo Bota
	Ghedem	Ghedem
	Gelsha Shet’	Gelsha Shet'
ገለታ	Geleta	Geleta
	Gelta	Gelta
	Gelts’a	Gelts'a
	Gelts’a (2)	Gelts'a (2)
	Gelts’a	Gelts'a
	Gelts’a (1)	Gelts'a (1)
	Gulta	Gulta
	Gutta	Gutta
	Gelts’a Bota	Gelts'a Bota
	Gēma	Gema
	Gemamēda	Gemameda
	Garmam	Garmam
	Gemam Shet’	Gemam Shet'
	Gemasē	Gemase
	Gembē	Gembe
	Gembi	Gembi
	Gembēl	Gembel
	Gembēla	Gembela
	Gembēla	Gembela
	Gembēla	Gembela
	Gembēla	Gembela
	Gembēla	Gembela
	Gembēla Bota	Gembela Bota
	Gembēla Maryam Bēte Kristīyan	Gembela Maryam Bete Kristiyan
	Gembī Āfa Wenz	Gembi Afa Wenz
ገምቦ	Gembo	Gembo
	Lemmu	Lemmu
	Gēmbo	Gembo
	Gombo	Gombo
	Gemborē	Gembore
	Gēmbo Silasē Bēte Kristīyan	Gembo Silase Bete Kristiyan
	Gembo Sudan Īntīriyer Mīsīyon	Gembo Sudan Intiriyer Misiyon
	Gemē	Geme
	Gemelo Shet’	Gemelo Shet'
	Gemenya Shet’	Gemenya Shet'
	Gemenya Shet’	Gemenya Shet'
	Cadda Gamarri	Cadda Gamarri
ጊሚራ ቦታ	Gemerī Bota	Gemeri Bota
	Adobada	Adobada
	Lake Gamari	Lake Gamari
	Lake Gamarri	Lake Gamarri
	Lake Gammari	Lake Gammari
	Gemerī Hāyk’	Gemeri Hayk'
	Gemerī Shet’	Gemeri Shet'
	Geme Shokē	Geme Shoke
	Gēmī Bota	Gemi Bota
	Gemojī	Gemoji
ገና	Gena	Gena
	Ghema	Ghema
	Gena	Gena
	Bosa	Bosa
	Gena Bosa	Gena Bosa
ገናሌ አውራጃ	Genalē Āwraja	Genale Awraja
	Ganale Gudda	Ganale Gudda
	Genale River	Genale River
ገናሌ ወንዝ	Genalē Wenz	Genale Wenz
	Ghenale	Ghenale
	Genalē	Genale
ገና መጫወቻ	Gena Mech’awecha	Gena Mech'awecha
ገንዳ	Genda	Genda
	Gendawa	Gendawa
	Gendebta	Gendebta
ገንደ ቡሄ	Gende Buhē	Gende Buhe
ገንደ ቡኔ	Gende Bunē	Gende Bune
ገንደ ድሬ	Gende Dirē	Gende Dire
ገንደ ኤላ	Gende Ēla	Gende Ela
	Gendefta YeTerara Ch’af	Gendefta YeTerara Ch'af
ገንደ ጎራ	Gende Gora	Gende Gora
ገንደ ጃሎ	Gende Jalo	Gende Jalo
ገንደ ቂልጡ	Gende K’īlt’u	Gende K'ilt'u
	Gendera Gīyorgīs Bēte Kristīyan	Gendera Giyorgis Bete Kristiyan
	Ganduli	Ganduli
	Gendulī Shet’	Genduli Shet'
	Gendwa	Gendwa
	Monti Chenei	Monti Chenei
	Genei	Genei
	Monti Genei	Monti Genei
	Āniya Genemē	Aniya Geneme
	Ganami	Ganami
ገነሜ	Genemī	Genemi
	Āniya Genemē Mīka’ēl Bēte Kiristyan	Aniya Geneme Mika'el Bete Kiristyan
ገነሜ ሚካኤል ቤተ ክርስቲያን	Genemī Mīka’ēl Bēte Kristīyan	Genemi Mika'el Bete Kristiyan
ገነት	Genet	Genet
	Gennet	Gennet
	Holata	Holata
ሆለታ	Holeta	Holeta
	Holetta	Holetta
	Hollatta	Hollatta
	Holotā	Holota
	Oletta	Oletta
	Genet	Genet
ገነቴ	Genetē	Genete
	Genetē	Genete
ገነቴ (2)	Genetē (2)	Genete (2)
	Genetē	Genete
ገነቴ (1)	Genetē (1)	Genete (1)
ገነቴ ማርያም	Genetē Maryam	Genete Maryam
	Genetē	Genete
	Genetē Shet’	Genete Shet'
ገነት ጊዮርጊስ ቤተ ክርስቲያን	Genet Gīyorgīs Bēte Kristīyan	Genet Giyorgis Bete Kristiyan
ገነት ማርያም ቤተ ክርስቲያን	Genet Maryam Bēte Kristīyan	Genet Maryam Bete Kristiyan
ገነት መድሃኒ አለም ቤተ ክርስቲያን	Genet Medhanē Ālem Bēte Kristīyan	Genet Medhane Alem Bete Kristiyan
ገነት የጦር ሰፈር	Genet YeT’or Sefer	Genet YeT'or Sefer
	Abena	Abena
	Genfel Shet’	Genfel Shet'
	Guenfel	Guenfel
	Gwenfel	Gwenfel
	Gengen	Gengen
	Ghennagazza	Ghennagazza
	Gengena	Gengena
	Gengen Wenz	Gengen Wenz
	Gengoyta Terara	Gengoyta Terara
	Ogoggo	Ogoggo
	Faressa	Faressa
	Fariccia	Fariccia
	Genjeb	Genjeb
	Gangi	Gangi
ገንጂ	Genjī	Genji
	Genjī	Genji
	Gangi	Gangi
	Genjī	Genji
	Genjī	Genji
	Genjī	Genji
	Genjī	Genji
	Genjī	Genji
	Gootu	Gootu
ገንጂ ጊዮርጊስ ቤተ ክርስቲያን	Genjī Gīyorgīs Bēte Kristīyan	Genji Giyorgis Bete Kristiyan
	Genjī Shet’	Genji Shet'
	Gangi	Gangi
	Ganji	Ganji
ገንጂ ወንዝ	Genjí Wenz	Genji Wenz
	Genjo	Genjo
ቢያ ገናሌ	Biya Gennale	Biya Gennale
	Geno	Geno
ገንታ ተራራ	Genta Terara	Genta Terara
	Gentē	Gente
	Danguel	Danguel
	Denghet	Denghet
	Denguel	Denguel
	Gentenya	Gentenya
	Gentī	Genti
	Gentī Ārba‘itu Insesat Bēte Kristīyan	Genti Arba`itu Insesat Bete Kristiyan
	Genyet’	Genyet'
ጌራ	Gera	Gera
	Fiume Gira	Fiume Gira
	Gēra	Gera
ጌራ (2)	Gēra (2)	Gera (2)
	Gēra	Gera
ጌራ (3)	Gēra (3)	Gera (3)
	Ghera	Ghera
	Gēra	Gera
ጌራ (1)	Gēra (1)	Gera (1)
	Gēra	Gera
	Gera’ālta	Gera'alta
	Gēra Bota	Gera Bota
	Ghera	Ghera
	Gerad	Gerad
	Gerada	Gerada
ገራዶ	Gerado	Gerado
	Gerado	Gerado
	Gerado Shet’	Gerado Shet'
	Geradu	Geradu
	Alalaghera	Alalaghera
ጌራዬ ሸለቆ	Gera’ē Shelek’o	Gera'e Shelek'o
	Gerahu Sirnay	Gerahu Sirnay
	Gergu Sernay	Gergu Sernay
	Gerhu Sirnai	Gerhu Sirnai
	Hov	Hov
	Gēra K’ela	Gera K'ela
ጌራ ማርያም ቤተ ክርስቲያን	Gēra Maryam Bēte Kristīyan	Gera Maryam Bete Kristiyan
	Gērar	Gerar
	Gēror	Geror
ጌራርሳ	Gerarsa	Gerarsa
	Gērarsa Shet’	Gerarsa Shet'
	Gēraru Shet’	Geraru Shet'
	Ghereru	Ghereru
	Gēra Shet’	Gera Shet'
	Gēra Suru	Gera Suru
ገርባ	Gerba	Gerba
	Gerba	Gerba
	Gerba	Gerba
	Gerbaco	Gerbaco
	Monte Gerbaco	Monte Gerbaco
	Gerbadī Shet’	Gerbadi Shet'
	Gerbale Shet’	Gerbale Shet'
ገርባ ወንዝ	Gerba Wenz	Gerba Wenz
	Gerbē	Gerbe
	Gerbeber	Gerbeber
	Gerbe	Gerbe
	Gerbe Ch’īta	Gerbe Ch'ita
	Gerbedalē Shet’	Gerbedale Shet'
	Gerbe Halē	Gerbe Hale
	Gerbe-Khale	Gerbe-Khale
	Gerbē Haro	Gerbe Haro
	Gerbē Haro Kurē	Gerbe Haro Kure
	Darbo Intalo	Darbo Intalo
	Gerbe Īntela Shet’	Gerbe Intela Shet'
	Gerbe Jejeba Shet’	Gerbe Jejeba Shet'
	Gerbe Jejeba Shet’	Gerbe Jejeba Shet'
	Gerbe Leku Shet’	Gerbe Leku Shet'
ገርቢ	Gerbī	Gerbi
	Monte Gauaba	Monte Gauaba
	Gerbicha Terara	Gerbicha Terara
	Guaba	Guaba
	Gerbīcho Bota	Gerbicho Bota
ገርቢ ዲምቱ	Gerbī Dīmtu	Gerbi Dimtu
ገርቢ ሸለቆ	Gerbī Shelek’o	Gerbi Shelek'o
	Gerbī	Gerbi
	Gerbī Shet’	Gerbi Shet'
	Gerbī Shet’	Gerbi Shet'
	Gerbī Shet’	Gerbi Shet'
	Garbo	Garbo
	Gerbo	Gerbo
	Garbo	Garbo
	Gerbo Shet’	Gerbo Shet'
	Gaouaha	Gaouaha
	Gerbo Shet’	Gerbo Shet'
	Gerchī Wenz	Gerchi Wenz
	Gerdem	Gerdem
	Gerdem Shet’	Gerdem Shet'
	Gerdessa	Gerdessa
	Gherdessa	Gherdessa
	Gerē	Gere
	Gere’ādo	Gere'ado
ገራዶ	Gherado	Gherado
ገርባ አቦ	Gereba Ābo	Gereba Abo
ገርባ አቦ (1)	Gereba Ābo (1)	Gereba Abo (1)
	Gereba Ābo	Gereba Abo
ገርባ አቦ (2)	Gereba Ābo (2)	Gereba Abo (2)
	Gereba’āt Shet’	Gereba'at Shet'
	Gereb Bota	Gereb Bota
	Gereb Ch’elīShet’	Gereb Ch'eliShet'
	Gereb Didik’	Gereb Didik'
	Gereb Didik’ Mīka’ēl Bēte Kristīyan	Gereb Didik' Mika'el Bete Kristiyan
	Gereb Hidar Shet’	Gereb Hidar Shet'
ገርበ ወይን ሚካኤል ቤተ ክትስቲያን	Gereb Weyn Mīka’ēl Bēte Kristīyan	Gereb Weyn Mika'el Bete Kristiyan
ገረገራ	Geregera	Geregera
ገረገራ (1)	Geregera (1)	Geregera (1)
	Geregera	Geregera
ገረገራ (2)	Geregera (2)	Geregera (2)
	Orkaie	Orkaie
	Geregidī	Geregidi
	Gere’ī Shet’	Gere'i Shet'
	Geren	Geren
	Geren Maryam Bēte Kristīyan	Geren Maryam Bete Kristiyan
	Gerentīcha	Gerenticha
	Gerenwa Shet’	Gerenwa Shet'
	Gererba	Gererba
	Garasse	Garasse
	Gērēsē	Gerese
	Gereselē Shet’	Geresele Shet'
	Geresu	Geresu
	Geret’ot	Geret'ot
	Gergember	Gergember
	Gruamber	Gruamber
	Gergember Mīka’ēl Bēte Kristīyan	Gergember Mika'el Bete Kristiyan
ገርገራ ቂርቶስ ቤተ ክርስቲያን	Gergera K’īrk’os Bēte Kristīyan	Gergera K'irk'os Bete Kristiyan
	Gergorī Shet’	Gergori Shet'
	Gerī	Geri
	Gerī	Geri
	Garagiam	Garagiam
	Geri’gab	Geri'gab
	Geri’īgab	Geri'igab
	Gerīro	Geriro
	Chume	Chume
	Ciume	Ciume
	Gerjē	Gerje
	Gejēda	Gejeda
	Gerjēda	Gerjeda
	Ghirgeida	Ghirgeida
	Girgeida	Girgeida
	Gerjo Maryam Bēte Kristīyan	Gerjo Maryam Bete Kristiyan
ገርማማ	Germama	Germama
	Germama	Germama
	Germama	Germama
ገርማማ አቦ ቤተ ክርስቲያን	Germama Ābo Bēte Kristīyan	Germama Abo Bete Kristiyan
	Gamama	Gamama
	Germama	Germama
	Germama Shet’	Germama Shet'
ግርማሜ	Germamē	Germame
	Germ Kiram	Germ Kiram
	Gerob Hāyk’	Gerob Hayk'
	Gerrei	Gerrei
	Jerrey	Jerrey
	Dzherrey	Dzherrey
	Gērsa Hālīla	Gersa Halila
	Gerukē	Geruke
	Gerum	Gerum
	Gerwēyn Mēda	Gerweyn Meda
	Gesa Bota	Gesa Bota
	Gesara Bota	Gesara Bota
	Gesci	Gesci
	Geserē	Gesere
	Geseta	Geseta
ጌሻ	Gēsha	Gesha
	Geisha	Geisha
	Gēsha	Gesha
	Gheiscia	Gheiscia
	Ghescia	Ghescia
	Geiscia	Geiscia
	Geisha	Geisha
	Gēsha	Gesha
	Gheccia	Gheccia
	Gheiscia	Gheiscia
	Ghescia	Ghescia
	Ghiscia	Ghiscia
	Gēsha Bota	Gesha Bota
	Geshara Bota	Geshara Bota
ገሽ መገል ተራራ	Gesh Megal Terara	Gesh Megal Terara
	Debo	Debo
ዲጳ	Dipa	Dipa
	Gesī	Gesi
	Gesī Hāyk’	Gesi Hayk'
	Gessi	Gessi
	Lake Gessi	Lake Gessi
	Tata	Tata
	Lago Tata	Lago Tata
	Adele Gubo	Adele Gubo
	Gesīsen	Gesisen
	Hadele Gube	Hadele Gube
	Hadele Gubò	Hadele Gubo
	Hadele Guma	Hadele Guma
	Hadēl Gubo	Hadel Gubo
	Gēsta	Gesta
	Gēsta Shet’	Gesta Shet'
	Gēsta Silasē Bēte Kristīyan	Gesta Silase Bete Kristiyan
	Gêstîr	Gestir
	Gêstîr	Gestir
	Gesdir	Gesdir
	Guister	Guister
	Gēsu	Gesu
	Gesuba	Gesuba
	Mure	Mure
	Murie	Murie
ጌታ ገደል	Gēta Gedel	Geta Gedel
ጌታ ገደል አቦ ቤተ ክርስቲያን	Gēta Gedel Ābo Bēte Kristīyan	Geta Gedel Abo Bete Kristiyan
ጌታ መስጊድ	Geta Mesgīd	Geta Mesgid
	Get’ē	Get'e
ገተማ	Getema	Getema
	Catama	Catama
	Gatama	Gatama
	Getema	Getema
	Katama	Katama
	Getema Losho	Getema Losho
ገተሜ	Get’emē	Get'eme
	Gatame	Gatame
	Gatame Island	Gatame Island
ገታሚ	Gatami	Gatami
ገተሜ ደሴት	Get’emē Desēt	Get'eme Deset
	Getī Ch’aka	Geti Ch'aka
	Getī Shet’	Geti Shet'
ጌቶ	Gēto	Geto
	Gewada	Gewada
	Gewada Bota	Gewada Bota
	Gauani	Gauani
	Gawāni	Gawani
ገዋኔ	Gewanē	Gewane
	Gewanī	Gewani
	Gewasa	Gewasa
	Gewera T’īna	Gewera T'ina
	Gewgew Shet’	Gewgew Shet'
	Gunni	Gunni
	Gewīl	Gewil
	Vato	Vato
	Gavis	Gavis
	Gevis	Gevis
	Gewīs Shet’	Gewis Shet'
	Gewlo	Gewlo
	Gewyagumatmelī Shet’	Gewyagumatmeli Shet'
	Gey	Gey
	Bargi	Bargi
	Bergī Mēda	Bergi Meda
	Geyelē Mēda	Geyele Meda
	Gherali	Gherali
	Gēygēs	Geyges
	Gēylē Terara	Geyle Terara
	Geyu	Geyu
	Occio	Occio
	Geza Agel	Geza Agel
	Monte Gezà Agel	Monte Geza Agel
ገዛበር	Gezaber	Gezaber
ገዛ ዋሻ	Geza Washa	Geza Washa
ገዛ ዋሻ ሚክኤል ቤተ ክርስቲያን	Geza Washa Mīka’ēl Bēte Kristīyan	Geza Washa Mika'el Bete Kristiyan
	Gezeltē Shet’	Gezelte Shet'
	Gezerkuta Bota	Gezerkuta Bota
	Gheb	Gheb
	Geb	Geb
	Ghebigaboda	Ghebigaboda
	Ghebro	Ghebro
	Ghebro	Ghebro
	Salina di Ghebrò	Salina di Ghebro
	Ghecciau	Ghecciau
	Monte Ghecciau	Monte Ghecciau
	Ghedaro	Ghedaro
	Monte Ghedarò	Monte Ghedaro
	Gheddo Siro	Gheddo Siro
	Monte Cheddus Minchiel	Monte Cheddus Minchiel
ቅዱስ ሚካኤል	Gheddus Minchiel	Gheddus Minchiel
	Ghedenghie	Ghedenghie
ጌዲዮን	Ghedeon	Ghedeon
አምባ ጌዲዮን	Amba Ghedeon	Amba Ghedeon
	Gedès Micael	Gedes Micael
	Ghedes Micael	Ghedes Micael
	Monte Ghedè	Monte Ghede
	Ghedi	Ghedi
	Ghedid Cali	Ghedid Cali
	Ghediit Addole	Ghediit Addole
	Ghedo	Ghedo
	Gheferso	Gheferso
	Ghegalu	Ghegalu
	Geido Ayeyu	Geido Ayeyu
	Gheido Aieiu	Gheido Aieiu
	Ghel Adei	Ghel Adei
	Galbi	Galbi
	Ghelbi	Ghelbi
	Galcam	Galcam
	Ghelcam	Ghelcam
	Gheldabat	Gheldabat
	Gheldabbal	Gheldabbal
	Fortino Geldidis	Fortino Geldidis
	Fortino Gheldidis	Fortino Gheldidis
	Gheldidis	Gheldidis
	Galuen	Galuen
	Gheledi	Gheledi
ገለዲ	Geledi	Geledi
	Ghelfur	Ghelfur
	Ghelgheb Scianfa	Ghelgheb Scianfa
	Ghelghel	Ghelghel
	Malca Geligodud	Malca Geligodud
	Malca Gheligodud	Malca Gheligodud
	Chelila	Chelila
ገሊላ	Ghelila	Ghelila
ገሊላ ዘካርያስ	Ghelila Zacarias	Ghelila Zacarias
	Isola Ghelilà Zacarias	Isola Ghelila Zacarias
ገሊላ ዘካርያስ ደሴት	Ghelila Zacarias Island	Ghelila Zacarias Island
	Isola Ghelila Zacarios	Isola Ghelila Zacarios
	Ghelissa	Ghelissa
	Ghellade	Ghellade
	Ghelocar	Ghelocar
	Ghamadura	Ghamadura
ገኅማዱራ	Ghemadura	Ghemadura
	Ghemascia	Ghemascia
	Ghemscia	Ghemscia
	Ghembachi	Ghembachi
	Gamela	Gamela
	Ghenfile	Ghenfile
	Ginfile Stream	Ginfile Stream
	Cengia	Cengia
	Ghenga	Ghenga
	Ghenghis	Ghenghis
	Debra Ghenner	Debra Ghenner
	Debra Ghennet	Debra Ghennet
	Ghenz	Ghenz
	Geraro	Geraro
	Gheraro	Gheraro
	Geraraier	Geraraier
	Geraro Ier	Geraro Ier
	Gheraro Ier	Gheraro Ier
	Gherber Offer	Gherber Offer
	Gerber Offer	Gerber Offer
	Gherbidda	Gherbidda
	Cherebela	Cherebela
	Gherebela	Gherebela
	Ghereccia	Ghereccia
	Tulu Ghereccia	Tulu Ghereccia
	Gherechibu	Gherechibu
	Gherento	Gherento
	Ghergeda	Ghergeda
	Ghedghedà	Ghedgheda
	Ghergheda	Ghergheda
	Gherghedda	Gherghedda
	Cargina	Cargina
	Chergiaina	Chergiaina
	Ghergina	Ghergina
	Gheri	Gheri
	Gheriale	Gheriale
	Geriale	Geriale
	Gerigoan	Gerigoan
	Gherigoan	Gherigoan
	Gherma	Gherma
	Monte Germana	Monte Germana
	Ghermana	Ghermana
	Amba Ghermie	Amba Ghermie
	Gheron	Gheron
	Gherou	Gherou
	Ghersat	Ghersat
ገረሴ	Ghersei	Ghersei
	Malca Ghersa	Malca Ghersa
መልካ ገርሴ	Malca Ghersei	Malca Ghersei
	Chesti	Chesti
	Ghesti	Ghesti
	Gatla	Gatla
	Ghetla	Ghetla
	Ghiacie	Ghiacie
	Ghisciè	Ghiscie
	Gisciè	Giscie
	Ghibie	Ghibie
	Gimma	Gimma
	Ghibigia	Ghibigia
	Monte Gibija	Monte Gibija
	Ghideri	Ghideri
	Ghidibbe Lucio	Ghidibbe Lucio
	Ghietem Mariam	Ghietem Mariam
	Ghifa	Ghifa
	Mount Ghifa	Mount Ghifa
	Monte Ghifo	Monte Ghifo
	Ghiligio	Ghiligio
	Ghim	Ghim
	Gim	Gim
	Ghimbigiu	Ghimbigiu
	Ghimbigu	Ghimbigu
	Gimbyu	Gimbyu
	Ghimmeri	Ghimmeri
	Ghina Chid Meret	Ghina Chid Meret
	Kid Mihrat	Kid Mihrat
	Tulu Ghinghi	Tulu Ghinghi
	Ghio	Ghio
	Giyo	Giyo
	Ghiragoba	Ghiragoba
	Ghiria	Ghiria
	Ghirid	Ghirid
	Ghiriffò	Ghiriffo
	Ghiroffo	Ghiroffo
	Ghoia	Ghoia
	Ghoja	Ghoja
	Giabis	Giabis
	Jabis	Jabis
	Giacana	Giacana
	Jakana	Jakana
