# Amharic Name	FULL_NAME	FULL_NAME_ND
	Ābenyo Terara	Abenyo Terara
	Gara Ābognu	Gara Abognu
አበራ	Ābera	Abera
	Abarà	Abara
	Ābera	Abera
አበራ ቦታ	Ābera Bota	Abera Bota
አበራ ና አስፋወሰን ትምህርትቤት	Ābera na Āsfaw Wesen Timhirt Bēt	Abera na Asfaw Wesen Timhirt Bet
	Abargalē	Abargale
	Abergale	Abergale
	Abergeie	Abergeie
	Ābergelē	Abergele
	Avergalle	Avergalle
	Ābero	Abero
	Ābersha	Abersha
	Ābertegē	Abertege
	Bagena	Bagena
	Bagena Amba	Bagena Amba
	Abeselh	Abeselh
	Abeselli	Abeselli
	Ābeta Robē	Abeta Robe
	Abeie	Abeie
	Ābeya Shet’	Abeya Shet'
	Abeye	Abeye
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī	Abeyi
	Ābeyī Mīka’ēl Bēte Kristīyan	Abeyi Mika'el Bete Kristiyan
	Ābeyī	Abeyi
	Ābeyī Shet’	Abeyi Shet'
	Geddi	Geddi
	Gieddi	Gieddi
	Jeddi	Jeddi
	Abgaccio	Abgaccio
	Ābichē	Abiche
	Ābīchu	Abichu
	Ābīchu	Abichu
	Ābīchu Maryam Bēte Kristīyan	Abichu Maryam Bete Kristiyan
	Abidi	Abidi
	Amba Abier	Amba Abier
	Abieri	Abieri
	Ābīhgum Gīyorgīs Bēte Kristīyan	Abihgum Giyorgis Bete Kristiyan
	Ābīlamī	Abilami
	Ābīlamoch	Abilamoch
	Abilegn	Abilegn
	Ābiley	Abiley
	Abinas	Abinas
	Mount Abinas	Mount Abinas
	Ābīnos	Abinos
ዐቢይ	Ābiy	Abiy
ዐቢይ	Ābīy	Abiy
አቢ አዲ	Abbi Addi	Abbi Addi
አቢ አዲ 	Abi Abdi	Abi Abdi
አቢ አዲ	Abi Addi	Abi Addi
አቢ አዲ	Abi-Adi	Abi-Adi
ዐቢይ	Abiy	Abiy
	Ābīy Ādī	Abiy Adi
	Aby Adi	Aby Adi
	Ābīya Shet’	Abiya Shet'
አባያ	Abayā	Abaya
	Lago Abeita	Lago Abeita
	Lake Abiata	Lake Abiata
	Lake Abijata	Lake Abijata
	Lake Abiyata	Lake Abiyata
አቢያታ ሐይቅ	Ābīyata Hāyk’	Abiyata Hayk'
	Hora Abaita	Hora Abaita
	Hora Abgiata	Hora Abgiata
	Hora Abgiate	Hora Abgiate
ሆራ አቢያታ	Hora Abyata	Hora Abyata
	Ābiyatku	Abiyatku
	Ābīy Imnī	Abiy Imni
	Abiu	Abiu
አቢዩ	Ābīyu	Abiyu
	Ābīyu	Abiyu
	Ābīyu	Abiyu
	Abbiu	Abbiu
	Abiu	Abiu
	Ābīyu	Abiyu
	Ābna’o	Abna'o
	Ābna’o Maryam Bēte Kristīyan	Abna'o Maryam Bete Kristiyan
አቦ	Ābo	Abo
	Ābo’ā	Abo'a
	Ābo Ārka	Abo Arka
	Ābobo	Abobo
	Ābodo	Abodo
	Abodona	Abodona
	Abol	Abol
	Obuol	Obuol
	Abola	Abola
	Abola Mountain	Abola Mountain
	Abola Negus	Abola Negus
	Abolai	Abolai
