#Amharic Name	Latin Transcription	ASCII Transcription
ይትባረክ ወልደ ሚካኤል	Yetbaräk Wäldä-Mikaél	Yitbarek Wolde Michael
ይትባረክ ገብረ ትንሣኤ	Yetbaräk Gäbrä-Tensaé	Yitbarek Gabre Tensae
ይኄይስ ወርቄ	Yeheyyes Wärqé	Yeheyse Werke
ይኩኖ አምላክ ገብረ ሥላሴ	Yekunno-Amlak Gäbrä-Sellasé	Yekuno-Amlak Gabre Selassie
ይድነቃቸው ተሰማ	Yednaqaččaw Täsämma	Yedneqachew Tessema
ይገዙ ብሥራት	Yeggäzu Besrat	Yegezu Bisrat
ዮሐንስ መንክር	Yohannnes Mänker	Yohannes Menker
ዮሐንስ ረምሐ	Yohannes Rämha	Yohannes Remha
ዮሐንስ ረዳ ጻድቅ	Yohannes Rädda-Şadeq	Yohannes Reda Tsadik
ዮሐንስ ሳንድቬድ	Yohannes Sandved	Yohannes Sandved	Non-Ethiopian
ዮሐንስ ብንያም	Yohannes Benyam	Yohannes Benyam
ዮሐንስ ነጋሽ	Yohannes Nägaš	Yohannes Negash
ዮሐንስ አፈወርቅ	Yohannes Afäwärq	Yohannes Afework
ዮሐንስ ወንድማገኝሁ	Yohannes Wändemma-gaňähu	Yohannnes Wondimagegnehu
ዮሐንስ የሻነው	Yohannes Yäšanäw	Yohanis Yeshanwe
ዮሐንስ ገብረ እግዚአብሔር /አባ/	Yohannes Gäbrä Egziabhér	Yohanis Gabre Egziabher
ዮሴፍ ሀብተ ሚካኤል	Yoséf Habtä-Mikaél	Yoseph Habte Michael
ዮና ቦጋለ	Yona Boggalä	Yona Bogale
ዮአኪም ማርያ፣ አባ	Ioachim Maria RP	Yoakim Maryame	Non-Ethiopian
ደማ ዘንግ እግዜር	Dama Zang-Egzér	Dama Zeng Egzer
ደምሴ ማን አህሎት	Dämessé Mannahlot	Demisse Manahlot
ደምሴ ቶላ	Dämessé Tola	Demisse Tola
ደምሴ ወልደ አማኑኤል /ደጃዝማች/	Dämess Wäldä Amanuél (Dägazmač)	Damisse Wolde Amanuel (Dejazmach)
ደምሴ ወርቅ አገኘሁ	Dämessé Wärq-Agäňähu	Demisse Work Agegnehu
ደረጀ ውቤ ዳኜ	Daräjjä Webe Daňé	Derejet Wobe Dagne
ደ/ራራ/ ባዩ	Dä(rara) Bayu	Derar Bayu
ደሳለኝ ሐራ ሚካኤል	Dässaläň Hara-Mikaél	Dessalegn Hara-Michael
ደሳለኝ አብተው	Dässaläň Abtäw	Dessalegn Abtew
ደሳለኝ አጋዤ	Dässaläň Agazé	Dessalegn Agazé
ደሴ ወይዘሮ ስኂን ት/ቤት	Däsé Yäwäyzro Sehin Temehert Bét	Desse Yewossero Sehin Temhert Bet
ደስታ ተክለ ወልድ	Dästa Täklä-Wäld	Desta Tekle-Wold
ደበበ ሰይፉ	Däbbäbä Säyfu	Debebe Seifu
ደበበ አድምቄ	Däbbäbä Admeqé	Debebe Admke
ደጀኔ ተክሌ	Däjäné Täklé	Dejene Tekle
ዱባለ አይተንፍሱ	Dubbalä Aytänfesu	Dubale Aitenfisu
ዲበ ኩሉ ዘውዴ	Dibä-Kulu Zäwdé	Dibe-Kulu Zewde
ዳምጣቸው ወርቁ	Damtaččäw Wärqu	Damtachew Worku
ዳምጤ አሰማኸኝ	Damté Assämmahň	Damte Assemmahegn
ዳንኤል ኤም	Daniel, M	Daniel, M	Non-Ethiopian
ዳንዬል ዳፎ	Daniél Daffo	Daniel Daffo
ዳኘው ወልደ ሥላሴ	Dańäw Wäldä-Sellasé	Dagnew Wolde Sellassie
ዳኛቸው ወርቁ	Daňaččäw Wärqu	Dagnacew Worku
ዳኛቸው ይርጉ	Daňaččäw Yergu	Dagnacew Yirgu
ዳኜ እምቢ አለ	Daňé Embi-Alä	Dagne Embi-Ale
ዳዊት ደገፋ	Dawit Dägäfu	Dawit Degefu
ጃለታ ጃፈሮ	Jäläta Jafäro	Jaleta Jafero
ገላና ቀጄላ	Gäläna Qäjela	Gelana Kejela
ገረመው ወልደ ሰማያት	Gärrämäw Wäldä-Sämayat	Geremew Wolde Semaiat
ገሪማ ታፈረ	Gärima Täffärä	Gerima Tafere
ገብረ ሕይወት ባይከዳኝ /ነጋድራስ/	Gabrä-Haywat Baykädaň	Gebre Hiwot Bikedagn
ገብረ ሚካኤል ልሳነ ወርቅ /አባ/	Gäbrä-Mikaél Lessanä-Wärq	Gebre Michael Lisane Work
ገብረ ሚካኤል መኰንን	Gäbrä-Mikaél Mäkwännen	Gebre Michael Mekonnen
ገብረ አብ መንግሥቱ	Gäbrä-Ab Mängestu	Gebre Ab Mengistu
ገብረ አብ ተገኝ	Gäbrä-Ab Tägäň	Gebreab Tegegn
ገብረ ኢየሱስ ኃይለ ማርያም	Gäbrä-Iyäsus Haylä-Maryam	Gebre Eyesus Haile Mariam
ገብረ ኢየሱስ ኃይሉ /አባ/	Gäbrä Iyäsusu Haylu	Gebre Eyesus Hailu
ገብረ ኢየሱስ /አባ/	Gäbrä-Iyäsus	Gebre Eyesus
ገብረ ኢየሱስ ክፍሌ	Gäbrä Iyäsus Keflé	Gebre Eyesus Kifle
ገብረ እግዚአብሔር /አባ/	Gäbrä-Egziabhér	Gebre Egziabher
ገብረ እግዚእ ሰሎሞን	Gäbrä-Egzi Sälomon	Gebre Egzi Solomon
ገብረ ኪዳን በዛብህ /አባ/	Gäbrä-Kidan Bäzzabbeh	Gebre Kidan Bezabih
ገብረ ኪዳን ወልደ መድኅን	Gäbrä-Kidan Wäldä Mädhen	Gebre Kidan Wolde Medhin
ገብረ ወልድ እንግዳ ወርቅ	Gäbrä-Wäld Engeda-Wärq	Gebrewold Ingidawork
ገብረ ጊዮርጊስ ትርፌ	Gabär-Giyorgis Terfé	Gebre Giorgis Tirfe
ገብረ ጻድቅ መንግሥቱ	Gäbrä-Şadeq Mangestu	Gebre Tsadik Mengistu
ገብሬ ወዳጆ	Gäbré Wadajo	Gebre Wodajo
ገነት አጥናፌ	Gännät Atnafé	Genet Atnafe
ገነት ዘሪሁይን	Gännät Zäryhun	Genet Zerihun
ገዳሙ ገዛኸኝ	Gädamu Gäzzahäň	Gedamu Gezahegn
ጉግሣ ግደይ /አባ/	Gugsa Gedäy	Gugsa Gidey
ጊዮርጊስ /አባ/	Giyorgis	Giorgis
ጋስፖሪኒ ገማ /አባ/	Gasparini G M	Gesparini GM	Non-Ethiopian
ጋሻው ማፈኛ	Gaššaw Mafäňa	Gashaw Mafegna
ጋሻው ይመር	Gaššaw Yemär	Gashaw Yimer
ጌራወርቅ አጐናፍር	Gerwärq Agwänafer	Gerawork Agonafir
ጌታሁን ሌንጮ	Getahun Lenčo	Getahun Lencho
ጌታሁን በላይነህ	Getahun Bälaynäh	Getahun Belaineh
ጌታቸው መንግሥቱ	Getaččäw Mengestu	Getachew Mengistu
ጌታቸው ማሞ	Getaččäw Mammo	Getachew Mamoé
ጌታቸው ምንልክ አለሙ	Getaččäw Ménlik Alläw	Getachew Menlik Allew
ጌታቸው በቀለ	Getaččäw Bäqqälä	Getachew Bekele
ጌታቸው ኃይሌ	Getaččäw Hayle	Getachew Haile
ጌታቸው አስፋው	Getaččäw Asfaw	Getachew Asfaw
ጌታቸው አወቀ	Getaččäw Awwäqä	Getachew Awoke
ጌታቸው ደባልቄ	Getaččäw Däbalqé	Getachew Debalqe
ጌታቸው ዳዊት	Getaččäw Dawit	Getachew Dawit 
ጌታቸው ገብረ መድህን	Getaččäw Gäbrä-Mädhen	Getachew Gabre Medhin
ግሎ ጀምስ፣ ኤ	Gloe, James A	Gloe, James A	Non-Ethiopian
ግርማ ተክለ ኢየሱስ	Germa Täklä Iyäsus	Girma Tekle Yesus
ግርማ ቸሩ	Germa Čäru	Girma Cheru
ግርማቸው ተክለ ሐዋርያት	Germaččäw Täklä-Hawaryat	Girmachew Tekle Hawariat
ግርማ ወልደ ትንሣኤ	Germa Wäldä-Tensaé	Girma Wolde Tensaie
ግርማ ወልደ አረጋይ	Germa-Wäldä-Arägay	Girma Wolde Aregay
ግርማ ወልደ ጊዮርጊስ	Germa Wäldä-Giyorgis	Girma Wolde Giorgis
ግርማ ዘውዴ	Germa Zäwdé	Girma Zewde
ግርማይ ተሰማ	Germay Täsämma	Girmaye Tessema
ግርማ ደመኑ	Germa Dämmänu	Girma Damenu
ግርማ ገብረ ኪዳን	Germa Gäbrä-Kidan	Girma Gabre Kidan
ግርማ ጽዮን መብራህቱ	Germa Seyon Mäbrahitu	Girma Tsion Mebrahtu
ግርማ ፀሐይ	Germa Sähay	Girma Tsehaye
ግብረ አብ ተፈሪ	Gebrä-Ab Täfäri	Gebre Ab Tefferi
ግዛው ኃይለ ማርያም	Gazaw Hayla-Maryam	Gizaw Haile Mariam
ጐርፉ ገብረ መድህን	Gwärfu Gäbrä-Mädhen	Gorfu Gabre Medhin
ጐሽሜ ረታ	Gwäšemé Rätta	Goshimé Retta
ጐበዜ ጣፈጠ	Gwäbäzé Täffäta	Gobezie Taffete
ጥላሁን ሀብተ ገብርኤል	Telahun Habtä-Gäbrél	Tilahun Habte Gabriel
ጥሩነሽ ይመር	Terunäš Yemär	Tirunesh Yemer
ጥበቡ ታየ	Tebäbu Tayyé	Tibebu Taye
ጥበቡ ወርቅ አገኘሁ	Tebäbu Wärqagäňähu	Tibebu Worke Agnehu
ጥዑመ ልሳን /ነጋድራስ/	Teumä-Lessan Nägadras	Tehume Lessan Negadras
ጥዑመ ልሳን ያሬድ	Teumä-Lessan Yaréd	Tehume Lessan Yared
ጳውሎስ ኞኞ	Pawlos Ňňoňňo	Paulos Gnogno
ጳውሎስ መንአመኖ	Pawlos Man Amänp	Pawlos Man Amno
ጳውሎስ ዑቅበአብ	Pawlos Uqebab	Pawlos Ukubab
ጳውሎስ ዘፈሩ	Pawlos Zäfäru	Paulos Zeferu
ጳውሎስ ገብረ ሚካኤል	Pawlos Gäbrä-Mikaél	Paulos Gabre-Michael
ጸጋ ዘአብ ዘረ እግዚእ	Şägga Zäab Zära-Egzi	Tsega Zeab Zera Egzi
ጽጌ መንገሻ	Şeggé Mängäša	Tsige Mengesha
ጽጌ ማርያም አንዳርጌ /አባ/	Şeggé Maryam Andargé	Tsige Mariam Andarge
ጽጌ አዳፍሬ	Şeggé Addafré	Tsige Adafre
ጽጌ ገብረ ኪዳን	Şeggé Gäbrä-Kidan	Tsige Gebre Kidan
ፀጋዬ ገብረ መድኅን	Şagäyé Gäbrä-Mädhen	Tsegaye Gabre-Medhin
ፀሐይ ኃይለ ሥላሴ	Şahay Haile Sellassie	Tsehai Haile Selassie
ፀጋ ተወልደ ብርሃን	Şägga Täwaldä Berhan	Tsega Tewolde Birhan
ፀጋ ታፈሰ	Şägga Taffäsä	Tsega Tafese
ፀጋዬ ተስፋ እግዚእ	Şäggyé Täsfa-Egzi	Tsegaye Tesfaegzi
ፈለቀ ዳኜ	Fälläqä Danňé	Feleke Dagne
ፊሊጶስ /አባ/	Philpos	Filipos	Non-Ethiopian
ፋሲል ማህተመ ወርቅ	Fasil Mahtämä-Wärq	Fasil Mahteme Worke
ፍላድ ማርቲን /መምህር/	Flad, Martin, Rev	Flad, Martin, Rev	Non-Ethiopian
ፍሎራን ፍሬር	Florent, Frére	Florent, Frére
ፍስሐ ኃይለ መስቀል	Fesseha Haylä-Mäsqäl	Fesseha Haile Meskel
ፍስሐ ወልደ ጻድቅ	Fesseha Wäldä-Sadeq	Fisseha Wolde Tsadik
ፍስሐዬ ሐጐስ	Fessehayé Hagos	Fesseha Hagos
ፍስሐ ጽዮን ካሣዬ	Fesseha-Şeyon Kasayé	Fisseha Tsion Kasaye
ፍሬው አዳሙ	Feréw Addamu	Ferew Adamu
ፍቃዱ ዓለሙ	Feqadu Alämu	Fekadu Alemu
ፍቃዱ ገብረ ሥላሴ	Feqadu Gabrä-Sellasé	Fekadu Gabre Seleassie
ፍቅረ ሥላሴ ወልደ ሃና	Feqrä-Sellasé Wäldä-Hanna	Fekre Selassie Wolde Hanna
ፍቅረ ድንግል በዬነ	Feqrä-Dengel Bäyyänä	Fekre Dingle Beyene
ፍቅሩ ኪዳኔ	Feqru Kedané	Fekru Kidane
ፍጡር አብርሃም	Fitur Abrham	Fetur Abrham
