#Amharic Name	Latin Transcription	ASCII Transcription
ምሕረተ አብ አባይ	Mehrätab Abbay	Mehretab Abay
ምስግና ተከስተ	Mesgenna Täkästä	Misgina Tekeste
ምናሴ የሥጋት	Menasé Yäsegat	Minasse Yesigat
ሞገስ ክፍሌ	Mogäs Keflé	Moges Kifle
ሞገስ ዕቁባ ጊዮርጊስ	Mogäs Equba Giyorgis	Moges Ekube Giorgis
ሠረቀ ብርሃን ገብረ እግዚእ	Säräqä-Berhan Gäbrä-Egzi	Sereke Birhan Gebre Egzi
ሣህለ ሚካኤል ወልደ ሥላሴ	Sahlä Mikaél Wäldä-Sellasé	Sahle Mikael Wolde Selassie
ሣህለ ሥላሴ ብርሃነ ማርያም	Sahlä-Sellasé Berhanä-Maryam	Sahle Sellassie Berhane Mariam
ሣህለ ዓምደ ሚካኤል	Sahlä Amdä-Mikaél	Sahle Amde Michael
ሣህሉ ድፋዬ /ፊታውራሪ/	Sahelu Defayé	Sahlu Defaye
ሥዩም ሠርፀ መድኅን	Seyyum Särsä-Mädhen	Seyoum Tserse Medhin
ሥርግው ሐብለ ሥላሴ	Sergew Hablä-Sellasé	Sirgew Hable Selassie
ሥዩም ስመኝ	Seyyum Semmäň	Seyoum Semegn
ሥዩም ተክለ ኃይማኖት	Seyyum Täklä Haymanot	Seyoum Tekle Haimanot
ሥዩም ወልዴ	Seyyum Wäldé	Seyoum Wolde
ሥዩም ገብረ እግዚአብሔር	Seyyum Gäbrä Egziabhér	Seyoum Gebre Egziabher
ረስቲን ሲሞን	Rostin, Simon	Rostin,Simon	Non-Ethiopian
ረይት፣ስቲቬን፣ኤምኤ	Wright, Stephen, MA	Wright, Stephen, MA	Non-Ethiopian
ሮማነ ወርቅ ካሳሁን /ወ/ሮ/	Romanä-Wärq Kasahun	Romane Work Kasahun
ሰሎሞን ተሰማ	Sälomon Täsämma	Solomon Tesema
ሰሎሞን ተስፋ ማርያም	Sälomon Täsfa-Maryam	Solomon Tesfa Mariam
ሰሎሞን ታፈሰ	Sälomon Tafässä	Solomon Tafesse
ሰሎሞን ዓሊ	Sälomon Ali	Solomon Ali
ሰሎሞን ይርጋ	Sälomon Yerga	Solomon Yirga
ሰሎሞን ደሬሳ	Sälomon Därésa	Solomon Deressa
ሰይድ ሙሐመድ ሰይድ	Säyd Muhammäd Säyd	Seid Mohammed Seid
ሰይድ አበጋዝ	Säyd Abägaz	Seid Abgaz
ሰይድ ኢብራሂም	Säyd Ibrahim	Seid Ibrahim
ሰይፈ ሚካኤል የተሽ ወርቅ	Säyfä Mikaél Yätäša-Wärq	Seife-Michael Yetesha Work
ሰይፈ ሥላሴ ወልደ ወሎ	Säyfä-Sellasé Wäldä-Wällo	Seife Selassie Wolde Wollo
ሰይፉ ሩጋ	Säyfu Ruga	Seifu Ruga
ሰይፉ ኃይለ ሥላሴ	Säyfu Haile Sellasie	Seifu Haile Selassie 
ሰይፉ ወልደ ኪዳን	Säyfu Wäldä Kidan	Seifu Wolde Kidan
ሰይፉ ይነሱ	Säyfu Yennäsu	Seifu Yenesu
ሰይፉ ይገዙ	Säyfu Yeggäzu	Seifu Yigezu
ሲራክ ኅሩይ	Sirak Heruy	Sirak Hiruy
ሲሳይ ከበደ	Sisay Käbbädä	Sisay Kebede
ሲቤንስን /ቄስ/	Svensson, Pasteur	Svensson, Pasteur	Non-Ethiopian
ሳሙኤል ለገሰ	Samuél Läggäsä	Samuel Legesse
ሳሙኤል መኰንን	Samuél Mäkwännen	Samuel Mekonen
ሳሙኤል በቀለ	Samuél Bäqqälä	Samuel Bekele
ሳሙኤል ተረፈ	Samuél Tärräfä	Samuel Terefe
ሳሙኤል ፈረንጅ	Samuél Färänj	Samuel Ferenge
ስብሐት ለአብ	Sebhat Läab	Sebhat Leab
ስንዱ ገብሩ /ወ/ሮ	Sendu Gäbru	Senedu Gebru
ሸዋንግዛው በላይ	Šäwangezaw Bälay	Shewangezaw Belay
ሸዋንግዛው በላይነህ	Šäwangezaw Bälaynäh	Shewangezaw Belayneh
ሺመልስ በቀለ	Šimälles Bäqqälä	Shimelles Bekele
ሺፈራው መንገሻ	Šifärraw Mängäsä	Shiferaw Mengesha
ሽፈራው ደምሴ	Šefärraw Dämissé	Shiferaw Demisse
ሻውል ባምነው	Šawl Bamnäw	Shawel Bamnew
ሽብሩ ወልደ ማርያም	Šiberu Wäldä-Maryam	Shiberu Wolde Mariam
ሽቶ መዝገቡ	Šetto Mäzgäbu	Shitto Mezgebu
ሽፈራው ምሕረቴ	Šefärraw Mehräté	Shiferaw Mehrete
ሽፈራው ከበደ	Šefärraw Käbbädä	Shiferaw Kebede
